[00:00.13]  Sentate
[00:37.48]  todavía
[00:38.05]  siento
[00:38.39]  en
[00:38.52]  la
[00:38.65]  punta
[00:38.97]  de
[00:39.10]  la
[00:39.23]  lengua
[00:39.72]  el
[00:39.87]  gusto
[00:40.26]  de
[00:40.41]  aquellos
[00:41.03]  dulces.
[00:41.76]  Cerrá
[00:42.18]  los
[00:42.39]  ojos
[00:42.67]  un
[00:42.81]  segundo
[00:43.30]  conmigo.
[00:44.04]  ¿Lo
[00:44.56]  sentís?
[00:45.72]  Ese
[00:45.91]  olor
[00:46.23]  a
[00:46.24]  azúcar
[00:46.70]  volviéndose
[00:47.69]  caramelo
[00:48.02]  en
[00:48.15]  la
[00:48.28]  sartén,
[00:48.92]  a
[00:48.93]  coco
[00:49.20]  tostado,
[00:49.79]  a
[00:49.85]  leche
[00:50.19]  hirviendo
[00:50.96]  despacito
[00:51.72]  hasta
[00:52.15]  ponerse
[00:52.98]  marrón.
[00:53.77]  Para
[00:53.91]  mí
[00:54.16]  ese
[00:54.31]  olor
[00:54.57]  es
[00:54.77]  la
[00:54.83]  cocina
[00:55.23]  de
[00:55.49]  mi
[00:55.66]  madre,
[00:55.96]  una
[00:56.16]  mesa
[00:56.46]  de
[00:56.60]  fórmica
[00:57.08]  y
[00:57.14]  unas
[00:57.48]  manos
[00:57.75]  chiquitas
[00:58.48]  que
[00:58.75]  no
[00:59.00]  llegaban
[00:59.65]  a
[00:59.74]  la
[00:59.92]  hornaia
[01:00.55]  pero
[01:00.91]  que
[01:01.18]  igual
[01:01.68]  querían
[01:02.35]  ayudar.
[01:03.24]  Te
[01:03.41]  voy
[01:03.67]  a
[01:03.76]  contar
[01:04.27]  veinte
[01:04.78]  dulces.
[01:05.60]  Algunos
[01:06.00]  te
[01:06.12]  van
[01:06.28]  a
[01:06.33]  sonar
[01:06.61]  de
[01:06.73]  la
[01:06.83]  casa
[01:07.06]  de
[01:07.17]  tu
[01:07.39]  abuela,
[01:07.73]  otros,
[01:08.13]  capaz,
[01:08.56]  no
[01:08.64]  los
[01:08.81]  escuchaste
[01:09.44]  nunca,
[01:09.88]  pero
[01:10.24]  todos
[01:10.58]  tienen
[01:10.95]  la
[01:11.08]  misma
[01:11.40]  alma,
[01:11.79]  se
[01:12.11]  hacían
[01:12.37]  con
[01:12.56]  paciencia,
[01:13.27]  con
[01:13.46]  lo
[01:13.63]  que
[01:13.78]  había
[01:14.17]  en
[01:14.31]  la
[01:14.52]  alacena
[01:14.96]  y
[01:15.09]  con
[01:15.30]  un
[01:15.48]  cariño
[01:15.94]  que
[01:16.13]  hoy
[01:16.35]  cuesta
[01:16.98]  encontrar.
[01:17.76]  Quédate,
[01:18.76]  que
[01:19.06]  algunos
[01:19.78]  de
[01:20.05]  estos
[01:20.49]  merecen
[01:21.20]  volver
[01:21.83]  a
[01:22.04]  tu
[01:22.11]  cocina.
[01:23.25]  El
[01:23.30]  primero
[01:23.96]  es
[01:24.13]  el
[01:24.31]  rey
[01:24.58]  de
[01:24.76]  las
[01:25.14]  meriendas
[01:25.87]  de
[01:26.08]  todos
[01:26.51]  los
[01:26.79]  cumpleaños,
[01:28.05]  el
[01:28.17]  alfajor
[01:28.80]  de
[01:28.98]  maizena
[01:29.77]  casero.
[01:30.64]  Dos
[01:30.83]  tapitas
[01:31.27]  blancas,
[01:31.82]  tan
[01:32.01]  tiernas
[01:32.64]  que
[01:32.66]  se
[01:32.76]  desacían
[01:33.33]  en
[01:33.46]  la
[01:33.60]  boca,
[01:33.93]  hechas
[01:34.30]  con
[01:34.49]  maizena
[01:34.92]  y
[01:34.98]  muy
[01:35.20]  poca
[01:35.57]  harina,
[01:36.52]  rellenas
[01:37.25]  de
[01:37.43]  dulce
[01:37.89]  de
[01:38.07]  leche
[01:38.54]  bien
[01:38.91]  generoso
[01:39.66]  y
[01:39.75]  con
[01:40.03]  todo
[01:40.40]  el
[01:40.59]  borde
[01:41.04]  pasado
[01:41.60]  por
[01:41.88]  coco
[01:42.34]  rallado.
[01:43.32]  Mi
[01:43.46]  madre
[01:43.84]  los
[01:44.05]  hacía
[01:44.48]  por
[01:44.70]  docenas
[01:45.34]  en
[01:45.35]  una
[01:45.61]  lata
[01:45.86]  grande
[01:46.30]  y
[01:46.37]  había
[01:46.81]  que
[01:47.03]  esconderlos
[01:47.83]  porque
[01:48.27]  desaparecían
[01:49.32]  antes
[01:49.72]  de
[01:49.88]  la
[01:50.04]  merienda.
[01:51.05]  El
[01:51.05]  secreto
[01:51.51]  estaba
[01:51.91]  en
[01:52.05]  no
[01:52.17]  amasar
[01:52.56]  de
[01:52.94]  más,
[01:53.09]  para
[01:53.36]  que
[01:53.61]  quedaran
[01:54.12]  arenosos,
[01:54.77]  que
[01:54.99]  se
[01:55.20]  dijeran
[01:55.56]  apenas
[01:56.08]  los
[01:56.69]  mordías.
[01:58.94]  Hoy
[01:59.13]  el
[01:59.28]  alfajor
[01:59.67]  se
[01:59.79]  compra
[02:00.17]  en
[02:00.29]  el
[02:00.41]  quiosco,
[02:00.96]  envuelto
[02:01.46]  en
[02:01.63]  papel
[02:01.90]  brillante,
[02:02.59]  y
[02:02.65]  está
[02:03.01]  bien,
[02:03.34]  saca
[02:03.59]  de
[02:03.88]  un
[02:04.01]  apuro,
[02:04.47]  pero
[02:04.74]  ese
[02:05.01]  alfajor
[02:05.38]  de
[02:05.52]  maizena
[02:05.98]  hecho
[02:06.32]  en
[02:06.45]  casa,
[02:06.85]  con
[02:07.08]  el
[02:07.18]  dulce
[02:07.52]  de
[02:07.72]  leche
[02:07.98]  rebalzando
[02:08.80]  por
[02:08.98]  los
[02:09.16]  costados
[02:09.64]  y
[02:09.70]  el
[02:09.82]  coco
[02:10.06]  pegándose
[02:10.78]  en
[02:10.82]  los
[02:10.96]  dedos,
[02:11.38]  tenía
[02:11.76]  algo
[02:12.00]  que
[02:12.19]  el
[02:12.28]  comprador
[02:12.87]  no
[02:13.08]  tiene
[02:13.36]  ni
[02:13.92]  cerca.
[02:16.25]  Tiene
[02:16.53]  las
[02:16.74]  manos
[02:17.09]  de
[02:17.23]  alguien
[02:17.72]  que
[02:18.07]  se
[02:18.20]  tomó
[02:18.47]  la
[02:18.56]  tarde
[02:18.91]  para
[02:19.19]  vos,
[02:19.57]  y
[02:19.61]  eso
[02:19.82]  mi
[02:20.02]  amor,
[02:20.46]  no
[02:20.52]  se
[02:20.66]  compra
[02:21.16]  en
[02:21.50]  ningún
[02:22.42]  quiosco.
[02:23.84]  El
[02:24.01]  segundo
[02:24.63]  es
[02:24.82]  la
[02:24.97]  madre
[02:25.41]  de
[02:25.86]  todos
[02:26.02]  los
[02:26.28]  dulces,
[02:26.97]  el
[02:27.14]  dulce
[02:27.57]  de
[02:27.74]  leche
[02:28.18]  casero.
[02:28.96]  Leche,
[02:29.66]  azúcar,
[02:30.56]  un
[02:30.98]  poquito
[02:31.46]  de
[02:31.66]  bicarbonato
[02:32.80]  y
[02:32.86]  una
[02:33.24]  olla
[02:33.56]  al
[02:33.76]  fuego
[02:34.26]  durante
[02:34.96]  horas,
[02:35.66]  revolviendo
[02:36.86]  con
[02:37.06]  cuchara
[02:37.52]  de
[02:37.65]  madera
[02:38.05]  sin
[02:38.25]  parar,
[02:38.88]  mirando
[02:39.17]  como
[02:39.43]  la
[02:39.56]  leche
[02:39.89]  blanca
[02:40.28]  se
[02:40.41]  iba
[02:40.60]  poniendo
[02:41.14]  dorada,
[02:41.67]  después
[02:42.45]  marrón
[02:42.97]  hasta
[02:43.45]  tomar
[02:43.91]  ese
[02:44.34]  punto
[02:44.66]  justo
[02:45.14]  en
[02:45.32]  que
[02:45.60]  dejaba
[02:46.16]  un
[02:46.39]  caminito
[02:47.10]  en
[02:47.29]  el
[02:47.48]  fondo
[02:47.95]  de
[02:48.14]  la
[02:48.33]  olla.
[02:48.84]  Ese
[02:49.18]  era
[02:49.47]  el
[02:49.68]  momento
[02:50.42]  sagrado,
[02:51.37]  y
[02:51.53]  el
[02:51.68]  premio
[02:52.31]  era
[02:52.68]  pasar
[02:53.16]  el
[02:53.40]  dedo
[02:53.79]  por
[02:54.11]  la
[02:54.31]  cuchara
[02:55.04]  todavía
[02:55.89]  tibia.
[02:56.84]  Hoy
[02:57.08]  el
[02:57.24]  dulce
[02:57.68]  de
[02:57.82]  leche
[02:58.21]  viene
[02:58.78]  en
[02:58.86]  pote
[02:59.13]  y
[02:59.18]  es
[02:59.34]  cómodo,
[03:00.06]  no
[03:00.23]  te
[03:00.38]  voy
[03:00.68]  a
[03:00.70]  mentir,
[03:01.34]  pero
[03:01.66]  el
[03:01.82]  casero
[03:02.30]  tenía
[03:02.92]  un
[03:03.06]  gusto
[03:03.44]  a
[03:03.47]  leche
[03:03.81]  de
[03:03.95]  verdad,
[03:04.49]  a
[03:04.56]  paciencia,
[03:05.30]  a
[03:05.37]  brazo
[03:05.74]  cansado
[03:06.17]  de
[03:06.31]  revolver,
[03:06.99]  se
[03:07.20]  perdió
[03:07.58]  porque
[03:08.29]  lleva
[03:08.56]  tiempo,
[03:09.21]  mucho
[03:09.61]  tiempo
[03:10.18]  parado
[03:10.58]  frente
[03:11.12]  a
[03:11.15]  la
[03:11.36]  olla,
[03:11.80]  y
[03:11.87]  ese
[03:12.11]  tiempo,
[03:12.76]  ese
[03:13.09]  quedarse
[03:13.63]  revolviendo
[03:14.62]  solo
[03:14.96]  para
[03:15.20]  endulzarle
[03:15.92]  el
[03:16.06]  día
[03:16.42]  a
[03:16.56]  la
[03:16.64]  familia,
[03:17.22]  es
[03:17.36]  justamente
[03:18.10]  lo
[03:18.26]  que
[03:18.46]  hoy
[03:18.69]  nadie
[03:19.05]  quiere
[03:19.55]  regalar.
[03:20.36]  Y
[03:20.49]  una
[03:20.88]  cosa
[03:21.24]  antes
[03:21.79]  de
[03:22.00]  seguir,
[03:22.89]  mi
[03:23.11]  amor,
[03:23.77]  todas
[03:24.32]  estas
[03:24.87]  recetas
[03:25.64]  para
[03:26.18]  que
[03:26.41]  no
[03:26.63]  se
[03:26.84]  te
[03:27.07]  pierdan
[03:27.84]  como
[03:28.40]  se
[03:28.55]  perdieron
[03:29.24]  ellas,
[03:29.72]  te
[03:29.87]  las
[03:30.24]  deje
[03:30.42]  anotadas
[03:30.96]  ahí
[03:31.25]  abajo,
[03:31.79]  en
[03:31.91]  la
[03:32.06]  descripción
[03:32.96]  del
[03:33.16]  video,
[03:33.67]  en
[03:33.82]  una
[03:34.16]  guía
[03:34.68]  que
[03:34.92]  armé
[03:35.40]  con
[03:35.69]  mucho
[03:36.18]  cariño.
[03:37.25]  Y
[03:37.29]  esto
[03:37.68]  que
[03:37.88]  te
[03:38.06]  cuento
[03:38.60]  te
[03:38.78]  está
[03:39.23]  llegando
[03:39.98]  al
[03:40.13]  corazón,
[03:41.03]  esa
[03:41.44]  guía
[03:41.75]  es
[03:41.93]  para
[03:42.29]  vos.
[03:42.62]  El
[03:42.86]  tercero
[03:43.75]  era
[03:44.06]  el
[03:44.64]  consuelo
[03:45.31]  de
[03:45.58]  las
[03:45.86]  noches
[03:46.58]  de
[03:46.90]  invierno,
[03:48.02]  el
[03:48.26]  arroz
[03:48.86]  con
[03:49.28]  leche,
[03:49.93]  arroz
[03:50.15]  cocinado
[03:50.52]  despacito
[03:51.17]  en
[03:51.31]  leche
[03:51.67]  con
[03:51.89]  azúcar,
[03:52.54]  un
[03:52.67]  palito
[03:53.11]  de
[03:53.25]  canela
[03:53.72]  y
[03:53.76]  una
[03:53.98]  cáscara
[03:54.59]  de
[03:54.80]  limón
[03:55.14]  que
[03:55.45]  perfumaba
[03:56.14]  toda
[03:56.48]  la
[03:56.57]  olla,
[03:57.00]  revolviendo
[03:58.10]  para
[03:58.16]  que
[03:58.32]  no
[03:58.46]  se
[03:58.60]  pegara
[03:59.10]  hasta
[03:59.41]  que
[03:59.63]  quedaba
[04:00.14]  cremoso,
[04:00.79]  ni
[04:00.93]  muy
[04:01.26]  espeso
[04:01.80]  ni
[04:02.01]  muy
[04:02.33]  líquido,
[04:03.39]  en
[04:03.81]  su
[04:03.82]  punto
[04:04.35]  justo.
[04:05.41]  Se
[04:05.42]  servía
[04:05.93]  tibio
[04:06.28]  en
[04:06.42]  las
[04:06.64]  tardes
[04:07.21]  frías,
[04:07.64]  con
[04:07.86]  más
[04:08.15]  canela
[04:08.59]  espolvoreada
[04:09.56]  arriba
[04:09.90]  y
[04:09.97]  era
[04:10.21]  un
[04:10.33]  abrazo
[04:10.96]  en
[04:11.12]  un
[04:11.30]  plato.
[04:11.96]  Esto
[04:12.48]  todavía
[04:13.25]  se
[04:13.46]  hace,
[04:14.10]  es
[04:14.31]  verdad,
[04:15.16]  pero
[04:15.60]  cada
[04:16.03]  vez
[04:16.34]  menos
[04:16.89]  y
[04:16.98]  muchas
[04:17.62]  veces
[04:18.16]  con
[04:18.61]  esos
[04:18.96]  de
[04:19.12]  sobre
[04:19.76]  que
[04:19.98]  ya
[04:20.13]  vienen
[04:20.60]  listos.
[04:21.28]  La
[04:21.41]  gracia
[04:21.80]  estaba
[04:22.20]  en
[04:22.33]  cuidarlo,
[04:23.11]  en
[04:23.30]  revolverlo,
[04:23.97]  en
[04:24.03]  probar
[04:24.42]  si
[04:24.55]  el
[04:24.68]  arroz
[04:25.01]  ya
[04:25.14]  estaba
[04:25.56]  blando,
[04:26.06]  era
[04:26.40]  un
[04:26.55]  dulce
[04:26.93]  que
[04:27.16]  te
[04:27.31]  obligaba
[04:27.93]  a
[04:28.00]  quedarte
[04:28.69]  en
[04:28.77]  la
[04:28.92]  cocina
[04:29.38]  a
[04:29.45]  estar.
[04:30.28]  Y
[04:30.29]  esa
[04:30.68]  presencia,
[04:32.18]  ese
[04:32.45]  estar
[04:33.00]  sin
[04:33.37]  apuro
[04:34.00]  frente
[04:34.74]  a
[04:34.85]  la
[04:35.11]  olla,
[04:35.85]  es
[04:36.10]  de
[04:36.35]  lo
[04:36.60]  primero
[04:37.47]  que
[04:37.84]  se
[04:38.09]  nos
[04:38.46]  fue.
[04:39.30]  El
[04:39.51]  cuarto
[04:40.16]  es
[04:40.43]  el
[04:40.58]  más
[04:41.32]  antiguo
[04:41.75]  de
[04:41.99]  todos,
[04:42.71]  de
[04:42.94]  cuando
[04:43.58]  ni
[04:43.78]  mi
[04:43.99]  abuela
[04:44.63]  era
[04:44.95]  joven,
[04:45.70]  la
[04:45.95]  mazamorra,
[04:47.00]  maíz
[04:47.38]  blanco
[04:47.84]  pisado,
[04:48.45]  remojado
[04:49.06]  desde
[04:49.45]  la
[04:49.60]  noche
[04:49.99]  anterior
[04:50.64]  y
[04:50.70]  después
[04:51.33]  horas
[04:51.72]  y
[04:51.80]  horas
[04:52.19]  de
[04:52.34]  cocción
[04:53.12]  lenta
[04:53.49]  hasta
[04:53.86]  que
[04:54.10]  los
[04:54.30]  granos
[04:54.75]  se
[04:55.05]  abrían
[04:55.42]  y
[04:55.49]  soltaban
[04:56.08]  esa
[04:56.32]  cremita,
[04:56.96]  endulzada
[04:57.62]  con
[04:57.83]  azúcar
[04:58.36]  o
[04:58.43]  con
[04:58.80]  miel
[04:59.21]  de
[04:59.42]  caña.
[05:00.80]  Era
[05:01.00]  el
[05:01.14]  dulce
[05:01.46]  de
[05:01.59]  los
[05:01.79]  más
[05:02.05]  humildes,
[05:02.82]  el
[05:02.83]  de
[05:02.96]  la
[05:03.09]  tierra,
[05:03.62]  el
[05:03.76]  que
[05:03.94]  venía
[05:04.33]  de
[05:04.46]  mucho
[05:04.79]  antes
[05:05.12]  que
[05:05.40]  nosotros.
[05:06.72]  Se
[05:06.91]  comía
[05:07.49]  frío
[05:07.97]  en
[05:08.16]  el
[05:08.35]  verano
[05:09.01]  y
[05:09.02]  tenía
[05:09.68]  un
[05:09.79]  gusto
[05:10.27]  simple
[05:10.85]  y
[05:11.00]  noble
[05:11.42]  a
[05:11.51]  campo
[05:11.99]  a
[05:12.08]  tiempos
[05:12.75]  lentos.
[05:13.72]  Se
[05:13.87]  perdió
[05:14.39]  casi
[05:14.70]  del
[05:14.91]  todo
[05:15.20]  y
[05:15.28]  me
[05:15.58]  da
[05:15.74]  una
[05:15.80]  pena
[05:16.10]  bárbara
[05:16.68]  porque
[05:17.13]  la
[05:17.28]  mazamorra
[05:18.00]  no
[05:18.10]  costaba
[05:18.65]  nada,
[05:19.44]  solo
[05:19.78]  maíz
[05:20.07]  y
[05:20.14]  paciencia.
[05:21.00]  Y
[05:21.13]  era
[05:21.34]  el
[05:21.42]  dulce
[05:21.77]  de
[05:21.91]  nuestras
[05:22.47]  raíces,
[05:23.10]  el
[05:23.29]  que
[05:23.45]  comían
[05:23.96]  nuestros
[05:24.50]  bisabuelos.
[05:25.61]  Cuando
[05:26.09]  dejamos
[05:26.81]  de
[05:27.01]  hacerla,
[05:27.92]  no
[05:28.17]  perdimos
[05:28.94]  solo
[05:29.35]  una
[05:29.76]  receta.
[05:30.64]  Perdimos
[05:31.16]  un
[05:31.26]  pedacito
[05:31.77]  de
[05:31.86]  quiénes
[05:32.47]  éramos,
[05:32.93]  de
[05:33.02]  dónde
[05:33.39]  veníamos,
[05:34.06]  y
[05:34.12]  un
[05:34.23]  pueblo
[05:34.61]  que
[05:34.91]  se
[05:34.92]  olvida
[05:35.40]  de
[05:35.62]  sus
[05:35.95]  dulces
[05:36.61]  más
[05:37.04]  viejos
[05:37.71]  se
[05:37.93]  olvida
[05:38.60]  un
[05:38.81]  poco
[05:39.25]  de
[05:39.47]  sí
[05:39.80]  mismo.
[05:40.72]  El
[05:40.93]  quinto
[05:41.56]  hacía
[05:42.19]  felices
[05:43.01]  a
[05:43.02]  los
[05:43.33]  chicos
[05:43.96]  en
[05:44.17]  un
[05:44.38]  segundo,
[05:45.33]  los
[05:45.65]  bocaditos
[05:46.58]  de
[05:46.79]  coco.
[05:47.64]  Coco
[05:47.98]  rallado
[05:48.41]  mezclado
[05:48.97]  con
[05:49.18]  dulce
[05:49.66]  de
[05:49.67]  leche,
[05:50.16]  apretado
[05:50.72]  con
[05:50.93]  las
[05:51.14]  manos
[05:51.49]  en
[05:51.63]  bolitas
[05:52.12]  y
[05:52.20]  algunos
[05:52.91]  pasados
[05:53.36]  por
[05:53.62]  chocolate
[05:54.36]  derretido
[05:55.11]  para
[05:55.47]  las
[05:55.74]  ocasiones
[05:56.43]  especiales.
[05:57.54]  No
[05:57.68]  había
[05:58.11]  que
[05:58.32]  cocinar
[05:58.82]  casi
[05:59.11]  nada
[05:59.47]  y
[05:59.56]  por
[05:59.68]  eso
[05:59.89]  los
[06:00.10]  hacíamos
[06:00.74]  con
[06:00.95]  los
[06:01.18]  nietos,
[06:01.82]  ensuciándonos
[06:02.88]  todas
[06:03.26]  las
[06:03.49]  manos,
[06:04.02]  comiendo
[06:04.78]  la
[06:04.90]  mitad
[06:05.17]  de
[06:05.31]  la
[06:05.46]  mezcla
[06:05.92]  antes
[06:06.30]  de
[06:06.45]  que
[06:06.72]  llegara
[06:07.22]  a
[06:07.29]  ser
[06:07.52]  bolita.
[06:08.32]  Eran
[06:08.68]  feos,
[06:09.22]  disparejos,
[06:10.34]  cada
[06:10.66]  uno
[06:10.93]  de
[06:11.14]  un
[06:11.29]  tamaño
[06:11.91]  distinto
[06:12.64]  y
[06:12.73]  eran
[06:13.09]  perfectos.
[06:14.28]  Hoy
[06:14.48]  hay
[06:14.68]  bombones
[06:15.26]  de
[06:15.41]  todos
[06:15.69]  los
[06:15.89]  colores
[06:16.36]  en
[06:16.57]  cualquier
[06:17.11]  góndola.
[06:18.09]  Teresos
[06:18.48]  bocaditos
[06:19.10]  de
[06:19.24]  coco
[06:19.53]  hechos
[06:19.98]  entre
[06:20.32]  risas
[06:20.68]  en
[06:20.82]  la
[06:20.96]  mesa
[06:21.25]  de
[06:21.39]  la
[06:21.53]  cocina
[06:22.04]  tenían
[06:22.48]  el
[06:22.62]  sabor
[06:23.12]  de
[06:23.20]  una
[06:23.41]  tarde
[06:23.77]  compartida.
[06:24.72]  Se
[06:24.87]  perdieron
[06:25.56]  porque
[06:26.00]  ya
[06:26.15]  casi
[06:26.74]  nadie
[06:26.83]  cocina
[06:27.27]  con
[06:27.48]  los
[06:27.71]  chicos,
[06:28.31]  con
[06:28.56]  las
[06:28.79]  manos,
[06:29.28]  sin
[06:29.50]  apuro
[06:30.00]  y
[06:30.04]  una
[06:30.28]  infancia
[06:30.89]  sin
[06:31.12]  haber
[06:31.50]  hecho
[06:31.88]  bolitas
[06:32.41]  de
[06:32.57]  coco
[06:32.87]  con
[06:33.10]  la
[06:33.25]  abuela.
[06:34.00]  Es
[06:34.23]  una
[06:34.58]  infancia
[06:35.50]  a
[06:35.62]  la
[06:36.02]  que
[06:36.30]  le
[06:36.43]  falta
[06:37.02]  un
[06:37.25]  poquito
[06:38.07]  de
[06:38.30]  dulzura.
[06:39.56]  El
[06:39.71]  sexto
[06:40.08]  era
[06:40.30]  el
[06:40.45]  dulce
[06:40.82]  de
[06:40.97]  los
[06:41.19]  que
[06:41.56]  no
[06:41.58]  teníamos
[06:42.25]  nada,
[06:42.68]  el
[06:42.83]  turrón
[06:43.40]  de
[06:43.49]  avena,
[06:44.01]  el
[06:44.16]  famoso
[06:44.61]  turrón
[06:45.41]  de
[06:45.49]  quaker,
[06:46.33]  avena,
[06:47.27]  azúcar
[06:47.79]  quemada
[06:48.52]  hasta
[06:49.12]  hacer
[06:49.56]  caramelo,
[06:50.60]  un
[06:50.89]  poco
[06:51.23]  de
[06:51.44]  manteca
[06:52.17]  y
[06:52.28]  todo
[06:52.69]  apretado
[06:53.62]  en
[06:53.79]  una
[06:54.14]  fuente
[06:54.60]  hasta
[06:55.00]  que
[06:55.26]  se
[06:55.64]  enfriaba
[06:56.12]  y
[06:56.20]  se
[06:56.37]  ponía
[06:56.89]  duro
[06:57.26]  para
[06:57.58]  después
[06:58.28]  cortarlo
[06:58.98]  en
[06:59.23]  cuadraditos.
[07:00.20]  No
[07:00.35]  llevaba
[07:00.89]  casi
[07:01.20]  ingredientes,
[07:02.28]  solo
[07:02.59]  lo
[07:02.74]  que
[07:02.96]  había
[07:03.43]  siempre
[07:04.04]  en
[07:04.12]  la
[07:04.27]  alacena
[07:04.80]  y
[07:04.87]  sin
[07:05.13]  embargo
[07:05.76]  era
[07:06.01]  crocante,
[07:06.89]  dulce,
[07:07.40]  riquísimo.
[07:08.69]  Era
[07:08.90]  la
[07:09.08]  prueba
[07:09.69]  de
[07:09.89]  que
[07:10.20]  con
[07:10.58]  cuatro
[07:11.13]  cosas
[07:11.64]  y
[07:11.76]  un
[07:11.95]  poco
[07:12.40]  de
[07:12.55]  maña
[07:13.05]  se
[07:13.25]  podía
[07:13.87]  hacer
[07:14.38]  un
[07:14.58]  tesoro.
[07:15.60]  Se
[07:15.75]  perdió
[07:16.28]  porque
[07:16.74]  hoy
[07:16.97]  sobran
[07:17.62]  las
[07:17.65]  golosinas
[07:18.32]  compradas
[07:19.00]  y
[07:19.07]  nadie
[07:19.45]  necesita
[07:20.06]  inventar
[07:20.67]  un
[07:20.82]  dulce
[07:21.28]  con
[07:21.55]  lo
[07:21.80]  que
[07:22.00]  queda
[07:22.44]  en
[07:22.62]  la
[07:22.80]  despensa.
[07:23.80]  Pero
[07:24.20]  ahí
[07:24.64]  estaba
[07:25.19]  la
[07:25.39]  magia
[07:25.88]  de
[07:26.09]  antes
[07:26.57]  en
[07:26.77]  hacer
[07:27.26]  mucho
[07:27.75]  de
[07:28.08]  poco,
[07:28.54]  en
[07:28.74]  no
[07:28.94]  rendirse
[07:29.73]  ante
[07:30.13]  la
[07:30.46]  falta.
[07:31.20]  Ese
[07:31.44]  ingenio
[07:32.04]  de
[07:32.18]  los
[07:32.40]  pobres,
[07:33.22]  esa
[07:33.28]  alegría
[07:33.92]  de
[07:34.16]  transformar
[07:35.04]  avena
[07:35.45]  y
[07:35.48]  azúcar
[07:36.01]  en
[07:36.17]  una
[07:36.41]  fiesta
[07:37.13]  era
[07:37.34]  una
[07:37.68]  forma
[07:38.25]  de
[07:38.48]  dignidad
[07:39.40]  y
[07:39.51]  esa
[07:39.85]  dignidad
[07:40.84]  dulce
[07:41.34]  también
[07:42.26]  la
[07:42.61]  vamos
[07:43.06]  dejando
[07:43.86]  atrás.
[07:44.96]  El
[07:45.15]  séptimo
[07:45.94]  era
[07:46.21]  un
[07:46.40]  lujo
[07:46.98]  que
[07:47.06]  costaba
[07:47.72]  monedas,
[07:48.60]  el
[07:48.80]  mantecol
[07:49.53]  casero,
[07:50.30]  el
[07:50.57]  turrón
[07:51.16]  de
[07:51.35]  maní,
[07:52.16]  maní
[07:52.20]  tostado
[07:52.73]  y
[07:52.80]  molido,
[07:53.41]  mezclado
[07:54.22]  con
[07:54.25]  azúcar
[07:54.79]  y
[07:54.89]  clara
[07:55.24]  batida,
[07:55.85]  esa
[07:56.08]  pasta
[07:56.48]  dulce
[07:56.85]  y
[07:56.92]  un
[07:57.13]  poco
[07:57.38]  seca
[07:57.88]  que
[07:58.04]  se
[07:58.20]  te
[07:58.38]  pegaba
[07:58.88]  al
[07:59.02]  paladar
[07:59.56]  y
[07:59.64]  te
[08:00.06]  obligaba
[08:00.44]  a
[08:00.52]  tomar
[08:01.00]  agua,
[08:01.43]  pero
[08:01.72]  que
