[00:00.27] There
[01:31.44]  you
[01:31.68]  exactly
[01:32.30]  how
[01:32.49]  to
[01:32.65]  build
[01:33.05]  this
[01:33.37]  trap
[01:33.68] ,
[01:34.08]  where
[01:34.41]  to
[01:34.60]  set
[01:34.86]  it
[01:35.12] ,
[01:35.12]  and
[01:35.35]  why
[01:35.58]  it
[01:35.73]  works
[01:36.16]  on
[01:36.26]  the
[01:36.52]  kind
[01:36.79]  of
[01:36.99]  flies
[01:37.32]  that
[01:37.63]  ruin
[01:37.92]  a
[01:37.99]  Sunday
[01:38.45]  dinner
[01:38.91] .
[01:39.20]  Then
[01:39.43]  I
[01:39.48]  am
[01:39.59]  going
[01:39.88]  to
[01:39.99]  tell
[01:40.25]  you
[01:40.39]  something
[01:40.96]  about
[01:41.38]  flies
[01:42.00]  that
[01:42.30]  should
[01:42.75]  worry
[01:43.13]  you
[01:43.35]  a
[01:43.42]  great
[01:43.80]  deal
[01:44.10]  more
[01:44.45]  than
[01:44.70]  the
[01:44.92]  buzzing
[01:45.52] ,
[01:45.52]  which
[01:45.92]  is
[01:46.08]  that
[01:46.40]  the
[01:46.64]  common
[01:47.13]  house
[01:47.53] fly
[01:47.88]  is
[01:47.93]  not
[01:48.17]  just
[01:48.48]  annoying
[01:49.20] ,
[01:49.36]  it
[01:49.38]  is
[01:49.52]  one
[01:49.76]  of
[01:49.98]  the
[01:50.16]  most
[01:50.52]  dangerous
[01:51.19]  animals
[01:51.85]  that
[01:52.06]  walks
[01:52.47]  into
[01:52.77]  your
[01:53.09]  kitchen
[01:53.68] ,
[01:53.68]  and
[01:53.90]  the
[01:54.12]  way
[01:54.34]  most
[01:54.63]  of
[01:54.79]  the
[01:54.99]  country
[01:55.50]  has
[01:55.75]  been
[01:56.01]  told
[01:56.29]  to
[01:56.44]  deal
[01:56.73]  with
[01:57.02]  it
[01:57.35]  is
[01:57.36]  making
[01:57.85]  the
[01:58.12]  problem
[01:58.67]  worse
[01:59.08] .
[01:59.36]  Stay
[01:59.68]  with
[02:00.00]  me
[02:00.15] .
[02:00.40]  By
[02:00.61]  the
[02:00.77]  end
[02:00.99]  of
[02:01.13]  this
[02:01.43] ,
[02:01.80]  you
[02:01.82]  will
[02:02.06]  have
[02:02.32]  a
[02:02.38]  working
[02:02.84]  trap
[02:03.10]  on
[02:03.23]  your
[02:03.49]  counter
[02:03.95]  tonight
[02:04.48] ,
[02:04.48]  and
[02:04.67]  you
[02:04.86]  will
[02:05.14]  never
[02:05.53]  look
[02:05.71]  at
[02:05.84]  a
[02:05.94]  brown
[02:06.23]  paper
[02:06.56]  bag
[02:06.75]  the
[02:07.12]  same
[02:07.20]  way
[02:07.39]  again
[02:07.72] .
[02:08.00]  Let
[02:08.31]  me
[02:08.68]  start
[02:09.03]  with
[02:09.64]  what
[02:09.85]  most
[02:10.28]  folks
[02:10.88]  have
[02:11.19]  wrong
[02:11.74] ,
[02:11.76]  because
[02:12.28]  if
[02:12.43]  you
[02:12.69]  do
[02:12.80]  not
[02:13.02]  understand
[02:13.77]  this
[02:14.07] ,
[02:14.40]  the
[02:14.48]  trap
[02:14.87]  will
[02:15.12]  not
[02:15.42]  save
[02:15.68]  you
[02:15.92] .
[02:16.16]  A
[02:16.34]  fly
[02:16.56]  is
[02:16.76]  not
[02:17.09]  what
[02:17.48]  you
[02:17.75]  think
[02:18.24]  it
[02:18.44]  is
[02:18.63] .
[02:19.11]  You
[02:19.19]  see
[02:19.42]  one
[02:19.75]  or
[02:19.80]  two
[02:20.03]  of
[02:20.18]  them
[02:20.49]  on
[02:20.64]  the
[02:20.87]  kitchen
[02:21.41]  counter
[02:22.12]  in
[02:22.14]  the
[02:22.36]  morning
[02:22.88] ,
[02:22.88]  and
[02:23.09]  you
[02:23.29]  reach
[02:23.65]  for
[02:23.86]  the
[02:24.06]  sw
[02:24.21] atter
[02:24.57] .
[02:24.80]  You
[02:25.05]  kill
[02:25.39]  one
[02:25.64] .
[02:25.92]  You
[02:26.21]  feel
[02:26.58]  satisfied
[02:27.33] .
[02:27.76]  What
[02:28.07]  you
[02:28.31]  did
[02:28.57]  not
[02:28.79]  see
[02:29.17]  is
[02:29.21]  the
[02:29.47]  16
[02:30.00]  others
[02:30.59]  sitting
[02:30.96]  on
[02:31.12]  the
[02:31.37]  lip
[02:31.62]  of
[02:31.78]  your
[02:32.11]  garbage
[02:32.69]  can
[02:32.96] ,
[02:32.96]  on
[02:33.13]  the
[02:33.38]  dog
[02:33.67]  dish
[02:33.97] ,
[02:34.29]  on
[02:34.31]  the
[02:34.54]  lip
[02:34.77]  of
[02:34.92]  the
[02:35.15]  sugar
[02:35.53]  bowl
[02:35.97] ,
[02:36.00]  on
[02:36.15]  the
[02:36.42]  underside
[02:37.07]  of
[02:37.22]  the
[02:37.51]  fruit
[02:37.83]  basket
[02:38.46] ,
[02:38.51]  where
[02:38.83]  the
[02:39.05]  bananas
[02:39.57]  have
[02:39.87]  gotten
[02:40.30]  a
[02:40.37]  little
[02:40.81]  too
[02:41.03]  ripe
[02:41.30] .
[02:41.60]  The
[02:41.85]  female
[02:42.36]  common
[02:42.87]  house
[02:43.30] fly
[02:43.72]  lays
[02:43.89]  500
[02:44.66]  eggs
[02:45.00]  at
[02:45.17]  a
[02:45.25]  time
[02:45.59] .
[02:46.62]  She
[02:46.80]  does
[02:47.22]  it
[02:47.43]  in
[02:47.64]  batches
[02:48.38]  of
[02:48.62]  75
[02:49.28]  to
[02:49.43]  150
[02:50.38] ,
[02:50.80]  and
[02:50.89]  she
[02:51.16]  can
[02:51.39]  lay
[02:51.63]  six
[02:51.89]  batches
[02:52.49]  in
[02:52.67]  her
[02:52.91]  short
[02:53.34]  life
[02:53.62] .
[02:54.00]  500
[02:55.17]  eggs
[02:55.70]  from
[02:56.28]  one
[02:56.61]  fly
[02:57.04] .
[02:57.04]  The
[02:57.24]  one
[02:57.44]  you
[02:57.64]  missed
[02:58.06]  with
[02:58.31]  the
[02:58.51]  sw
[02:58.64] atter
[02:58.97] .
[02:59.20]  Those
[02:59.64]  eggs
[02:59.99]  hatch
[03:00.43]  into
[03:00.78]  mag
[03:01.06] g
[03:01.12] ots
[03:01.38]  in
[03:01.56]  24
[03:02.09]  hours
[03:02.49] .
[03:02.88]  The
[03:03.12]  mag
[03:03.36] g
[03:03.44] ots
[03:03.75]  become
[03:04.21]  adult
[03:04.58]  flies
[03:04.99]  in
[03:05.15]  seven
[03:05.56]  days
[03:05.87] .
[03:06.16]  Each
[03:06.81]  one
[03:06.90]  of
[03:07.11]  those
[03:07.64]  adult
[03:08.16]  flies
[03:08.70]  is
[03:08.91]  fertile
[03:09.68]  within
[03:10.24]  48
[03:10.80]  hours
[03:11.43]  and
[03:11.54]  starts
[03:12.07]  laying
[03:12.60]  her
[03:12.86]  own
[03:13.22]  500
[03:13.91]  eggs
[03:14.22] .
[03:14.72]  This
[03:14.94]  is
[03:15.21]  exponential
[03:16.20]  math
[03:16.46] ,
[03:16.93]  and
[03:17.01]  it
[03:17.15]  is
[03:17.29]  happening
[03:17.99]  in
[03:18.04]  the
[03:18.24]  back
[03:18.48]  of
[03:18.60]  the
[03:18.79]  cabinet
[03:19.36]  under
[03:19.52]  your
[03:19.88]  sink
[03:20.24]  where
[03:20.57]  the
[03:20.77]  trash
[03:21.10]  bag
[03:21.32]  tore
[03:21.56]  last
[03:21.82]  week
[03:22.08]  and
[03:22.33]  you
[03:22.53]  did
[03:22.68]  not
[03:22.88]  notice
[03:23.28] .
[03:23.52]  The
[03:23.78]  sw
[03:24.31] atter
[03:24.53]  does
[03:25.11]  not
[03:25.22]  solve
[03:25.73]  this
[03:26.12] .
[03:26.48]  The
[03:26.76]  sw
[03:26.94] atter
[03:27.45]  is
[03:27.59]  theater
[03:28.24] .
[03:28.56]  The
[03:28.77]  sw
[03:28.89] atter
[03:29.23]  makes
[03:29.57]  you
[03:29.77]  feel
[03:30.04]  like
[03:30.31]  you
[03:30.51]  are
[03:30.71]  doing
[03:31.05]  something
[03:31.66] .
[03:31.92]  What
[03:32.21]  you
[03:32.43]  have
[03:32.72]  to
[03:32.86]  do
[03:33.00]  is
[03:33.14]  what
[03:33.43]  my
[03:33.57]  grandmother
[03:34.38]  did
[03:34.60] ,
[03:35.01]  which
[03:35.27]  is
[03:35.46]  to
[03:35.65]  think
[03:36.12]  like
[03:36.49]  the
[03:36.77]  fly
[03:37.03] .
[03:37.36]  A
[03:37.50]  fly
[03:37.67]  does
[03:37.94]  not
[03:38.16]  come
[03:38.45]  to
[03:38.59]  your
[03:38.88]  kitchen
[03:39.39]  because
[03:39.94]  she
[03:40.12]  is
[03:40.27]  curious
[03:40.77] .
[03:41.74]  She
[03:41.84]  comes
[03:42.24]  because
[03:42.81]  she
[03:43.05]  smells
[03:43.58]  food
[03:43.85] ,
[03:44.25]  and
[03:44.33]  she
[03:44.49]  smells
[03:44.97]  it
[03:45.13]  from
[03:45.45]  about
[03:45.92]  half
[03:46.16]  a
[03:46.28]  mile
[03:46.56]  away
[03:47.28]  with
[03:47.36]  antenna
[03:47.81] e
[03:47.87]  that
[03:48.11]  are
[03:48.31]  more
[03:48.56]  sensitive
[03:49.13]  than
[03:49.51]  any
[03:49.58]  laboratory
[03:50.22]  instrument
[03:50.86]  we
[03:50.98]  have
[03:51.35]  ever
[03:51.48]  built
[03:51.80] .
[03:52.08]  If
[03:52.22]  you
[03:52.80]  trap
[03:53.02]  her
[03:53.39]  on
[03:53.54]  the
[03:53.85]  way
[03:54.16]  in
[03:54.37] ,
[03:54.77]  before
[03:55.01]  she
[03:55.19]  reaches
[03:55.68]  the
[03:55.96]  counter
[03:56.61]  where
[03:56.64]  the
[03:56.80]  bread
[03:57.04]  is
[03:57.20]  cooling
[03:57.84] ,
[03:57.84]  you
[03:58.10]  have
[03:58.44]  ended
[03:58.89]  the
[03:59.13]  cycle
[03:59.84] .
[03:59.84]  If
[03:59.99]  you
[04:00.21]  swat
[04:00.51]  her
[04:00.73]  after
[04:01.10]  she
[04:01.35]  has
[04:01.54]  already
[04:02.06]  laid
[04:02.36]  her
[04:02.58]  eggs
[04:02.88]  in
[04:03.03]  the
[04:03.30]  trash
[04:03.63]  can
[04:03.84] ,
[04:04.08]  you
[04:04.34]  have
[04:04.68]  killed
[04:05.20]  one
[04:05.46]  fly
[04:05.72]  and
[04:05.98]  inherited
[04:06.76]  a
[04:06.84]  thousand
[04:07.52] .
[04:07.84]  This
[04:08.15]  is
[04:08.30]  what
[04:08.70]  the
[04:08.84]  English
[04:09.38]  get
[04:09.68]  backwards
[04:10.30] .
[04:10.69]  They
[04:10.87]  want
[04:11.22]  to
[04:11.38]  kill
[04:11.64]  the
[04:11.87]  fly
[04:12.10]  that
[04:12.41]  landed
[04:12.87]  on
[04:13.02]  their
[04:13.41]  sandwich
[04:13.98] .
[04:14.32]  We
[04:14.49]  trap
[04:14.83]  the
[04:15.08]  fly
[04:15.33]  before
[04:15.90]  she
[04:16.09]  ever
[04:16.43]  sees
[04:16.77]  the
[04:17.02]  sandwich
[04:17.70] .
[04:18.00]  Our
[04:18.28]  way
[04:18.56]  takes
[04:19.03]  a
[04:19.12]  glass
[04:19.59]  jar
[04:19.87]  and
[04:20.31]  three
[04:20.62]  dollars
[04:21.28] .
[04:21.60]  Their
[04:22.03]  way
[04:22.29]  takes
[04:22.72]  a
[04:22.80]  can
[04:23.06]  of
[04:23.23]  spray
[04:23.66]  that
[04:24.00]  costs
[04:24.43]  nine
[04:24.77]  dollars
[04:25.60] ,
[04:25.66]  smells
[04:26.16]  like
[04:26.40]  a
[04:26.48]  chemistry
[04:27.04]  classroom
[04:28.00] ,
[04:28.00]  and
[04:28.22]  kills
[04:28.60]  the
[04:28.84]  cat
[04:29.03]  if
[04:29.28]  she
[04:29.41]  l
[04:29.48] icks
[04:29.78]  the
[04:30.02]  counter
[04:30.55]  afterward
[04:31.20] .
[04:31.52]  Now
[04:31.75]  I
[04:31.82]  want
[04:32.14]  to
[04:32.28]  tell
[04:32.61]  you
[04:32.82]  something
[04:33.59]  that
[04:33.83]  should
[04:34.29]  make
[04:34.60]  you
[04:34.83]  uneasy
[04:35.44] ,
[04:35.48]  because
[04:35.76]  most
[04:36.16]  folks
[04:36.56]  think
[04:36.80]  of
[04:37.01]  flies
[04:37.54]  as
[04:37.75]  a
[04:37.85]  nuisance
[04:38.91] ,
[04:38.95]  a
[04:39.01]  bump
[04:39.56]  in
[04:39.64]  the
[04:39.96]  day
[04:40.55] ,
[04:40.62]  something
[04:40.96]  you
[04:41.12]  wave
[04:41.52]  off
[04:41.68]  the
[04:41.94]  potato
[04:42.48]  salad
[04:43.13]  at
[04:43.20]  a
[04:43.29]  family
[04:43.88]  picnic
[04:44.36] .
[04:44.72]  What
[04:45.10]  a
[04:45.24]  fly
[04:45.47]  actually
[04:46.23]  is
[04:46.42] ,
[04:46.79]  when
[04:46.94]  she
[04:47.17]  lands
[04:47.55]  on
[04:47.70]  your
[04:48.00]  food
[04:48.28] ,
[04:48.62]  is
[04:48.66]  the
[04:48.84]  dirt
[04:49.11] iest
[04:49.39]  creature
[04:50.00]  in
[04:50.13]  your
[04:50.40]  house
[04:50.83]  by
[04:51.05]  an
[04:51.17]  enormous
[04:51.85]  margin
[04:52.36] .
[04:52.64]  A
[04:52.77]  common
[04:53.27]  house
[04:53.72] fly
[04:54.08]  cannot
[04:54.55]  chew
[04:54.88] .
[04:55.20]  She
[04:55.44]  does
[04:55.76]  not
[04:56.00]  have
[04:56.32]  teeth
[04:56.61] .
[04:56.96]  She
[04:57.23]  has
[04:57.52]  a
[04:57.59]  kind
[04:57.95]  of
[04:58.17]  sponge
[04:58.77]  for
[04:58.94]  a
[04:59.03]  mouth
[04:59.48] ,
[04:59.88]  and
[04:59.89]  to
[05:00.03]  eat
[05:00.21]  anything
[05:00.76]  solid
[05:01.10] ,
[05:01.40]  she
[05:01.48]  has
[05:01.68]  to
[05:01.81]  vomit
[05:02.20]  on
[05:02.32]  it
[05:02.48] ,
[05:02.83]  first
[05:03.02]  to
[05:03.21]  dissolve
[05:03.81]  it
[05:03.97] ,
[05:04.12]  then
[05:04.44]  sip
[05:04.68]  the
[05:04.92]  liquid
[05:05.54]  back
[05:05.76]  up
[05:05.99] .
[05:06.55]  That
[05:06.79]  is
[05:07.01]  not
[05:07.25]  an
[05:07.44]  exaggeration
[05:08.55] .
[05:08.88]  That
[05:09.19]  is
[05:09.47]  what
[05:09.66]  every
[05:10.05]  fly
[05:10.35]  that
[05:10.60]  has
[05:10.85]  ever
[05:11.17]  landed
[05:11.62]  on
[05:11.78]  a
[05:11.86]  piece
[05:12.25]  of
[05:12.41]  bread
[05:12.80]  you
[05:13.07]  were
[05:13.35]  about
[05:13.74]  to
[05:13.90]  eat
[05:14.24]  has
[05:14.61]  done
[05:14.94] .
[05:15.28]  And
[05:15.49]  before
[05:15.92]  she
[05:16.13]  landed
[05:16.56]  on
[05:16.70]  your
[05:16.99]  bread
[05:17.45] ,
[05:17.49]  she
[05:17.70]  landed
[05:18.13]  on
[05:18.27]  something
[05:18.91]  else
[05:19.18] .
[05:19.52]  The
[05:19.77]  animal
[05:20.28]  manure
[05:20.79]  in
[05:20.96]  the
[05:21.21]  field
[05:21.68]  behind
[05:22.14]  the
[05:22.39]  barn
[05:22.72] ,
[05:23.11]  the
[05:23.24]  trash
[05:23.61]  bag
[05:23.80]  at
[05:24.01]  the
[05:24.18]  gas
[05:24.41]  station
[05:24.95]  three
[05:25.36]  blocks
[05:26.00]  over
[05:26.42] ,
[05:26.80]  the
[05:26.87]  dead
[05:27.18]  mouse
[05:27.57]  in
[05:27.74]  the
[05:28.02]  corner
[05:28.42]  of
[05:28.57]  your
[05:28.88]  garage
[05:29.35]  you
[05:29.58]  did
[05:29.81]  not
[05:30.04]  know
[05:30.35]  was
[05:30.58]  there
[05:30.95] ,
[05:31.34]  the
[05:31.43]  diaper
[05:31.90]  in
[05:32.16]  the
[05:32.28]  public
[05:32.82]  restroom
[05:33.38] ,
[05:33.71]  she
[05:33.76]  walks
[05:34.18]  across
[05:34.62]  all
[05:34.85]  of
[05:35.00]  it
[05:35.16]  with
[05:35.46]  feet
[05:35.84]  that
[05:36.08]  are
[05:36.31]  sticky
[05:36.88]  and
[05:37.14]  covered
[05:37.74]  in
[05:37.91]  tiny
[05:38.25]  hairs
[05:38.57] ,
[05:39.04]  and
[05:39.10]  every
[05:39.46]  one
[05:39.68]  of
[05:39.82]  those
[05:40.18]  hairs
[05:40.65]  carries
[05:41.06]  the
[05:41.27]  bacteria
[05:41.85]  of
[05:42.07]  every
[05:42.40]  place
[05:42.87]  she
[05:43.14]  has
[05:43.44]  been
[05:43.91]  in
[05:43.97]  the
[05:44.25]  last
[05:44.61]  six
[05:44.90]  hours
[05:45.35] .
[05:45.68]  The
[05:45.91]  University
[05:46.67]  of
[05:46.90]  Pennsylvania
[05:47.74]  once
[05:48.04]  did
[05:48.27]  a
[05:48.34]  study
[05:48.72]  where
[05:49.15]  they
[05:49.40]  collected
[05:50.33]  common
[05:50.55]  house
[05:51.01]  flies
[05:51.36]  from
[05:51.67]  urban
[05:52.05]  neighborhoods
[05:53.06]  and
[05:53.29]  counted
[05:53.89]  the
[05:54.06]  species
[05:54.60]  of
[05:54.82]  bacteria
[05:55.41]  each
[05:55.68]  fly
[05:55.91]  was
[05:56.14]  carrying
[05:56.76] .
[05:57.21]  The
[05:57.33]  average
[05:58.09]  was
[05:58.35]  351
[05:59.24]  different
[06:00.07]  bacterial
[06:00.95]  species
[06:01.68]  per
[06:01.97]  fly
[06:02.26] .
[06:02.56]  E
[06:02.70] .
[06:02.93]  coli
[06:03.23] ,
[06:03.40]  sal
[06:03.69] mone
[06:03.99] lla
[06:04.24] ,
[06:04.40]  l
[06:04.65] ister
[06:04.92] ia
[06:05.08] ,
[06:05.25]  sh
[06:05.54] ig
[06:05.59] ella
[06:05.93] ,
[06:06.10]  the
[06:06.38]  one
[06:06.60]  that
[06:06.99]  causes
[06:07.52]  typh
[06:07.82] oid
[06:08.04] .
[06:08.40]  That
[06:08.67]  is
[06:08.80]  what
[06:09.07]  is
[06:09.20]  walking
[06:09.68]  across
[06:10.17]  the
[06:10.29]  rim
[06:10.49]  of
[06:10.62]  your
[06:10.89]  coffee
[06:11.30]  cup
[06:11.52]  when
[06:11.77]  you
[06:11.97]  turn
[06:12.24]  around
[06:12.65]  to
[06:12.78]  grab
[06:13.20]  the
[06:13.41]  cream
[06:13.76] .
[06:14.00]  The
[06:14.24]  reason
[06:14.71]  this
[06:15.02]  used
[06:15.34]  to
[06:15.49]  kill
[06:15.84]  children
[06:16.43]  in
[06:16.59]  our
[06:16.83]  country
[06:17.38]  at
[06:17.54]  a
[06:17.62]  rate
[06:17.92]  we
[06:18.09]  do
[06:18.25]  not
[06:18.59]  like
[06:18.83]  to
[06:18.96]  remember
[06:19.68]  is
[06:19.83]  that
[06:20.26]  flies
[06:20.53]  were
[06:20.84]  how
[06:21.07]  disease
[06:21.62]  moved
[06:22.06]  from
[06:22.32]  the
[06:22.55]  out
[06:22.77] house
[06:23.17]  to
[06:23.39]  the
[06:23.55]  kitchen
[06:24.10]  before
[06:24.57]  plumbing
[06:25.52] .
[06:25.63]  Pl
[06:25.71] umbing
[06:26.28]  helped
[06:27.04] ,
[06:27.13]  but
[06:27.39]  flies
[06:27.84]  did
[06:28.08]  not
[06:28.36]  go
[06:28.55]  away
[06:28.93] .
[06:29.28]  They
[06:29.59]  just
[06:29.90]  moved
[06:30.28]  on
[06:30.43]  to
[06:30.63]  whatever
[06:31.20]  is
[06:31.45]  in
[06:31.50]  your
[06:31.81]  garbage
[06:32.40]  can
[06:32.52] .
[06:32.64]  So
[06:32.85]  when
[06:33.34]  I
[06:33.37]  tell
[06:33.79]  you
[06:34.11]  a
[06:34.21]  glass
[06:34.74]  jar
[06:35.09]  with
[06:35.61]  one
[06:35.80]  pant
[06:36.22] ry
[06:36.48]  ingredient
[06:37.40]  is
[06:37.42]  the
[06:37.58]  difference
[06:38.20]  between
[06:38.63]  a
[06:38.80]  clean
[06:39.04]  kitchen
[06:39.64]  and
[06:39.89]  a
[06:39.97]  sick
[06:40.39]  household
[06:41.28] ,
[06:41.35]  I
[06:41.47]  am
[06:41.50]  not
[06:41.72]  exagger
[06:42.25] ating
[06:42.63] .
[06:42.88]  This
[06:43.20]  is
[06:43.36]  not
[06:43.61]  a
[06:43.68]  quaint
[06:44.15] ,
[06:44.31]  Am
[06:44.46] ish
[06:44.69]  hobby
[06:45.08] .
[06:45.36]  This
[06:45.64]  is
[06:45.78]  the
[06:45.99]  same
[06:46.27]  trap
[06:46.54]  my
[06:46.79]  great
[06:47.05]  grandmother
[06:47.84]  set
[06:48.10]  in
[06:48.27]  1903
[06:49.36]  when
[06:49.65]  she
[06:49.87]  lost
[06:50.15]  her
[06:50.39]  first
[06:50.74]  child
[06:51.27]  to
[06:51.28]  a
[06:51.36]  summer
[06:51.90]  fever
[06:52.24]  and
[06:52.67]  she
[06:52.72]  set
[06:52.96]  one
[06:53.20]  every
[06:53.60]  summer
[06:54.08]  of
[06:54.24]  her
[06:54.48]  life
[06:54.80]  afterward
[06:55.50]  and
[06:55.95]  not
[06:56.00]  one
[06:56.24]  of
[06:56.42]  her
[06:56.64]  other
[06:57.12]  six
[06:57.41]  children
[06:58.21]  ever
[06:58.52]  got
[06:58.80]  sick
[06:59.20]  from
[06:59.54]  a
[06:59.63]  fly
[06:59.93]  again
[07:00.38] .
[07:00.72]  She
[07:00.96]  wrote
[07:01.38]  about
[07:01.78]  it
[07:01.98]  in
[07:02.10]  a
[07:02.18]  letter
[07:02.72]  to
[07:02.83]  her
[07:03.07]  sister
[07:03.55] .
[07:03.84]  We
[07:03.99]  still
