[00:00.07]  Fíjate
[01:52.40]  La
[01:52.57]  herramienta
[01:53.19]  que
[01:53.40]  se
[01:53.49]  oxida.
[01:54.00]  La
[01:54.17]  pared
[01:54.49]  que
[01:54.70]  subes
[01:55.05]  al
[01:55.19]  litre.
[01:55.80]  Todo
[01:56.28]  eso,
[01:56.87]  todo,
[01:57.60]  tiene
[01:57.96]  un
[01:58.10]  solo
[01:58.60]  culpable.
[01:59.20]  Uno,
[01:59.83]  el
[02:00.08]  agua.
[02:01.00]  El
[02:01.17]  agua
[02:01.42]  que
[02:01.55]  entra
[02:01.86]  donde
[02:02.17]  no
[02:02.28]  tiene
[02:02.60]  que
[02:02.78]  entrar.
[02:03.40]  El
[02:03.57]  90%
[02:04.06]  de
[02:04.21]  las
[02:04.43]  cosas
[02:04.80]  que
[02:05.02]  se
[02:05.17]  arruinan
[02:05.74]  en
[02:05.89]  tu
[02:06.31]  casa
[02:06.45]  no
[02:06.53]  se
[02:06.66]  arruinan
[02:07.18]  por
[02:07.38]  viejas.
[02:08.00]  Se
[02:08.17]  arruinan
[02:08.62]  porque
[02:09.00]  el
[02:09.13]  agua
[02:09.39]  entró
[02:09.77]  y
[02:09.83]  se
[02:09.96]  quedó.
[02:10.60]  Y
[02:10.77]  acá
[02:10.92]  está
[02:11.25]  el
[02:11.38]  secreto
[02:11.84]  que
[02:12.04]  casi
[02:12.31]  nadie
[02:12.63]  entiende.
[02:13.20]  Y
[02:13.35]  me
[02:13.37]  lo
[02:13.47]  enseñó
[02:13.93]  un
[02:14.04]  maestro
[02:14.44]  carpintero
[02:15.01]  de
[02:15.12]  los
[02:15.29]  de
[02:15.40]  antes.
[02:15.80]  Así
[02:16.08]  que
[02:16.29]  no
[02:16.43]  es
[02:16.57]  invento
[02:17.07]  mío.
[02:17.77]  Él
[02:17.79]  me
[02:17.92]  dijo
[02:18.17]  una
[02:18.36]  frase
[02:18.68]  que
[02:18.87]  no
[02:19.00]  me
[02:19.13]  olvido
[02:19.51]  más.
[02:20.00]  Me
[02:20.33]  dijo,
[02:21.24]  Tomás,
[02:22.13]  la
[02:22.26]  madera
[02:22.65]  mojada
[02:23.05]  no
[02:23.16]  es
[02:23.29]  el
[02:23.42]  problema.
[02:24.20]  La
[02:24.37]  madera
[02:24.80]  se
[02:24.96]  puede
[02:25.34]  mojar
[02:25.72]  mil
[02:25.95]  veces
[02:26.33]  y
[02:26.40]  no
[02:26.55]  le
[02:26.69]  pasa
[02:27.11]  nada.
[02:27.60]  Mientras
[02:28.17]  se
[02:28.31]  pueda
[02:28.67]  secar,
[02:29.20]  la
[02:29.38]  madera
[02:29.93]  se
[02:30.11]  pudre
[02:30.65]  cuando
[02:30.87]  se
[02:30.96]  queda
[02:31.21]  mojada.
[02:31.60]  Pénsalo.
[02:32.80]  Un
[02:32.97]  poste
[02:33.26]  clavado
[02:33.80]  en
[02:33.85]  la
[02:33.98]  tierra
[02:34.39]  se
[02:34.52]  pudre
[02:34.85]  siempre
[02:35.53]  por
[02:35.71]  abajo.
[02:36.00]  Por
[02:36.21]  la
[02:36.35]  parte
[02:36.69]  enterrada,
[02:37.42]  la
[02:37.57]  que
[02:37.78]  nunca
[02:38.12]  se
[02:38.26]  seca.
[02:38.80]  Arriba,
[02:39.35]  donde
[02:39.80]  el
[02:39.86]  sol
[02:40.07]  y
[02:40.15]  el
[02:40.28]  viento
[02:40.71]  la
[02:40.85]  secan,
[02:41.48]  el
[02:41.71]  mismo
[02:41.86]  poste
[02:42.18]  aguanta
[02:42.64]  décadas.
[02:43.40]  No
[02:43.57]  es
[02:43.64]  el
[02:43.82]  agua
[02:43.99]  lo
[02:44.12]  que
[02:44.30]  mata
[02:44.54]  la
[02:44.66]  madera,
[02:45.20]  es
[02:45.42]  el
[02:45.52]  agua
[02:45.85]  atrapada.
[02:46.97]  Entonces,
[02:47.42]  hay
[02:47.61]  dos
[02:47.80]  maneras
[02:48.24]  de
[02:48.36]  ganarle
[02:48.82]  al
[02:48.92]  agua.
[02:49.40]  Una,
[02:49.82]  dejar
[02:50.17]  que
[02:50.40]  la
[02:50.55]  madera
[02:51.01]  respire
[02:51.55]  y
[02:51.62]  se
[02:51.77]  seque
[02:52.31]  siempre.
[02:52.80]  Que
[02:52.97]  es
[02:53.06]  lo
[02:53.22]  que
[02:53.32]  hacían
[02:53.69]  los
[02:53.85]  viejos
[02:54.17]  con
[02:54.33]  el
[02:54.43]  diseño.
[02:55.00]  Y
[02:55.17]  la
[02:55.24]  otra,
[02:55.70]  la
[02:55.86]  de
[02:56.02]  hoy,
[02:56.41]  la
[02:56.57]  más
[02:56.88]  poderosa.
[02:57.80]  Que
[02:58.00]  el
[02:58.13]  agua
[02:58.39]  no
[02:58.52]  entre
[02:58.85]  nunca.
[02:59.40]  Que
[02:59.60]  ni
[02:59.73]  la
[02:59.86]  toque.
[03:00.40]  Que
[03:00.64]  resvale
[03:01.19]  y
[03:01.27]  se
[03:01.43]  vaya.
[03:02.00]  Y
[03:02.17]  para
[03:02.32]  eso
[03:02.52]  sirve
[03:02.85]  este
[03:03.11]  invento.
[03:03.80]  Bueno,
[03:04.36]  vamos
[03:04.80]  a
[03:04.86]  la
[03:05.02]  mezcla.
[03:05.80]  Y
[03:05.97]  agarrate
[03:06.48]  porque
[03:06.93]  es
[03:07.15]  de
[03:07.24]  reírse
[03:07.82]  de
[03:07.92]  lo
[03:08.07]  barata
[03:08.71]  que
[03:08.76]  es.
[03:09.20]  Son
[03:09.41]  dos
[03:09.62]  cosas.
[03:10.20]  Dos.
[03:11.00]  La
[03:11.18]  primera,
[03:12.00]  silicona.
[03:13.12]  La
[03:13.17]  silicona
[03:13.59]  común,
[03:14.09]  la
[03:14.21]  de
[03:14.34]  cartucho,
[03:14.93]  la
[03:15.05]  que
[03:15.23]  usas
[03:15.46]  para
[03:15.91]  sellar
[03:16.07]  la
[03:16.19]  bacha
[03:16.49]  o
[03:16.55]  la
[03:16.69]  ventana.
[03:17.40]  Esa
[03:17.63]  misma,
[03:18.18]  la
[03:18.40]  más
[03:18.66]  barata.
[03:19.40]  La
[03:19.58]  segunda,
[03:20.40]  disolvente
[03:21.11]  universal.
[03:22.00]  El
[03:22.17]  aguarrás,
[03:22.68]  el
[03:22.78]  disolvente
[03:23.35]  que
[03:23.46]  venden
[03:23.77]  en
[03:23.87]  cualquier
[03:24.35]  ferretería
[03:25.05]  o
[03:25.05]  pinturería
[03:25.62]  para
[03:25.80]  limpiar
[03:26.10]  pinceles.
[03:27.00]  Eso
[03:27.26]  es
[03:27.42]  todo.
[03:28.00]  Silicona
[03:28.56]  y
[03:28.63]  disolvente.
[03:29.60]  Solo
[03:29.92]  eso.
[03:30.40]  Y
[03:30.57]  con
[03:30.68]  eso
[03:30.89]  haces
[03:31.24]  un
[03:31.40]  impermeabilizante
[03:32.57]  líquido
[03:33.31]  que
[03:33.45]  hace
[03:33.63]  exactamente
[03:34.30]  lo
[03:34.42]  que
[03:34.60]  viste
[03:34.90]  al
[03:35.02]  principio.
[03:35.80]  ¿Cómo
[03:36.23]  se
[03:36.35]  prepara?
[03:37.00]  Ponés
[03:37.42]  un
[03:37.52]  poco
[03:37.80]  de
[03:38.00]  silicona
[03:38.46]  en
[03:38.59]  un
[03:38.72]  frasco
[03:39.11]  de
[03:39.24]  vidrio
[03:39.64]  o
[03:39.90]  una
[03:39.91]  lata,
[03:40.40]  le
[03:40.54]  agregás
[03:41.10]  el
[03:41.24]  disolvente
[03:42.00]  y
[03:42.06]  revolvés.
[03:42.93]  Al
[03:42.97]  principio
[03:43.52]  la
[03:43.65]  silicona
[03:44.17]  es
[03:44.30]  un
[03:44.43]  pegote,
[03:44.95]  no
[03:45.08]  se
[03:45.20]  disuelve.
[03:46.00]  Pero
[03:46.23]  seguir
[03:46.58]  revolviendo,
[03:47.35]  con
[03:47.49]  un
[03:47.60]  palito.
[03:48.20]  Y
[03:48.37]  en
[03:48.41]  un
[03:48.55]  par
[03:48.76]  de
[03:48.90]  minutos
[03:49.40]  la
[03:49.54]  silicona
[03:50.11]  se
[03:50.25]  rompe,
[03:50.88]  se
[03:51.02]  afloja
[03:51.43]  y
[03:51.47]  se
[03:51.61]  vuelve
[03:52.02]  líquida.
[03:52.80]  Casi
[03:53.09]  como
[03:53.38]  agua
[03:53.69]  espesa.
[03:54.40]  Cuando
[03:54.73]  te
[03:54.84]  queda
[03:55.12]  como
[03:55.40]  una
[03:55.50]  leche
[03:55.78]  liviana,
[03:56.27]  un
[03:56.42]  poquito
[03:56.77]  más
[03:57.08]  espeso
[03:57.31]  que
[03:57.47]  el
[03:57.58]  agua,
[03:58.02]  ya
[03:58.16]  está
[03:58.55]  lista.
[03:59.20]  La
[03:59.37]  proporción
[03:59.96]  no
[04:00.08]  es
[04:00.20]  de
[04:00.32]  laboratorio,
[04:01.08]  no
[04:01.22]  te
[04:01.32]  vuelvas
[04:01.85]  loco.
[04:02.20]  Aproximadamente
[04:03.20]  una
[04:03.40]  parte
[04:03.73]  de
[04:03.91]  silicona
[04:04.39]  por
[04:04.59]  tres
[04:04.86]  o
[04:05.11]  cuatro
[04:05.32]  de
[04:05.45]  disolvente.
[04:06.40]  Si
[04:06.57]  te
[04:06.66]  queda
[04:06.98]  muy
[04:07.17]  espesa,
[04:07.66]  más
[04:07.92]  disolvente.
[04:08.80]  Si
[04:08.97]  te
[04:09.06]  queda
[04:09.38]  muy
[04:09.57]  aguada,
[04:10.06]  un
[04:10.20]  poco
[04:10.51]  más
[04:10.72]  de
[04:10.85]  silicona.
[04:11.72]  La
[04:11.77]  tenés
[04:12.08]  que
[04:12.26]  poder
[04:12.60]  pincelar
[04:13.05]  fácil,
[04:13.54]  que
[04:13.72]  penetre.
[04:14.40]  Con
[04:14.57]  la
[04:14.68]  práctica
[04:15.19]  le
[04:15.30]  vas
[04:15.47]  a
[04:15.52]  agarrar
[04:15.90]  la
[04:16.01]  mano
[04:16.25]  en
[04:16.42]  el
[04:16.47]  primer
[04:16.81]  frasco.
[04:17.40]  Anota
[04:17.82]  esto
[04:18.13]  o
[04:18.21]  ponele
[04:18.75]  pausa.
[04:19.40]  Silicona
[04:19.99]  de
[04:20.14]  cartucho,
[04:20.88]  la
[04:21.02]  más
[04:21.33]  barata,
[04:22.24]  más
[04:22.31]  disolvente
[04:22.84]  universal.
[04:23.60]  Revolver
[04:24.08]  hasta
[04:24.37]  que
[04:24.60]  quede
[04:24.86]  como
[04:25.10]  leche.
[04:25.60]  Con
[04:25.78]  esa
[04:26.02]  fórmula
[04:26.44]  ya
[04:26.60]  podés
[04:26.94]  salir
[04:27.21]  a
[04:27.31]  impermeabilizar
[04:28.36]  hoy.
[04:28.60]  Las
[04:28.82]  medidas
[04:29.34]  finas,
[04:29.84]  al
[04:29.99]  mililitro
[04:30.64]  y
[04:30.71]  por
[04:30.93]  tipo
[04:31.24]  de
[04:31.51]  superficie,
[04:32.32]  te
[04:32.44]  las
[04:32.62]  dejo
[04:32.86]  en
[04:32.98]  el
[04:33.10]  manual,
[04:33.60]  pero
[04:33.81]  con
[04:33.97]  esto
[04:34.19]  arrancas.
[04:34.80]  Ahora,
[04:35.33]  antes
[04:35.71]  de
[04:35.86]  seguir,
[04:36.51]  la
[04:36.61]  parte
[04:36.99]  de
[04:37.14]  seguridad,
[04:38.00]  porque
[04:38.35]  esto
[04:38.58]  es
[04:38.69]  importante
[04:39.27]  y
[04:39.32]  no
[04:39.43]  lo
[04:39.54]  voy
[04:39.71]  a
[04:39.76]  saltear.
[04:40.55]  El
[04:40.57]  disolvente
[04:41.31]  universal
[04:42.00]  es
[04:42.15]  inflamable.
[04:43.20]  Muy
[04:43.40]  inflamable
[04:44.08]  y
[04:44.20]  sus
[04:44.34]  vapores
[04:44.81]  también.
[04:45.60]  Así
[04:45.87]  que
[04:46.07]  esto
[04:46.34]  se
[04:46.47]  prepara
[04:46.95]  y
[04:46.99]  se
[04:47.12]  aplica
[04:47.52]  en
[04:47.65]  un
[04:47.78]  lugar
[04:48.50]  ventilado,
[04:48.90]  con
[04:49.05]  la
[04:49.15]  puerta
[04:49.46]  abierta.
[04:50.00]  Lejos
[04:50.30]  de
[04:50.42]  cualquier
[04:51.00]  llama,
[04:51.39]  del
[04:51.57]  calentador,
[04:52.28]  de
[04:52.41]  un
[04:52.71]  cigarrillo,
[04:53.25]  de
[04:53.37]  una
[04:53.55]  chispa.
[04:54.20]  Guantes
[04:54.69]  puestos,
[04:55.32]  porque
[04:55.74]  reseca
[04:56.22]  la
[04:56.30]  piel.
[04:56.80]  Y
[04:56.97]  nada
[04:57.10]  de
[04:57.22]  encerrarte
[04:57.82]  en
[04:57.94]  un
[04:58.06]  baño
[04:58.36]  chico
[04:58.66]  a
[04:58.72]  respirar
[04:59.20]  eso.
[04:59.60]  Al
[04:59.77]  aire
[05:00.11]  libre
[05:00.60]  es
[05:00.71]  lo
[05:00.88]  ideal.
[05:01.60]  Te
[05:01.77]  lo
[05:01.84]  digo
[05:02.09]  una
[05:02.28]  vez
[05:02.47]  y
[05:02.60]  fuerte
[05:02.94]  porque
[05:03.31]  quiero
[05:03.64]  que
[05:03.83]  lo
[05:03.95]  hagas
[05:04.50]  bien
[05:04.51]  y
[05:04.56]  sin
[05:04.75]  sustos.
[05:05.40]  Ahora
[05:05.82]  sí,
[05:06.13]  porque
[05:06.57]  funciona.
[05:07.40]  Porque
[05:07.92]  el
[05:08.09]  agua
[05:08.43]  no
[05:08.60]  se
[05:08.77]  moja.
[05:09.57]  Porque
[05:09.73]  esto
[05:09.95]  es
[05:10.06]  lo
[05:10.17]  más
[05:10.40]  lindo
[05:10.66]  de
[05:10.77]  entender.
[05:11.40]  Cuando
[05:11.72]  el
[05:11.82]  agua
[05:12.03]  toca
[05:12.24]  una
[05:12.40]  superficie
[05:12.93]  normal,
[05:13.42]  porosa,
[05:14.63]  como
[05:14.86]  la
[05:15.02]  madera
[05:15.38]  o
[05:15.44]  el
[05:15.57]  cartón,
[05:16.26]  se
[05:16.45]  agarra.
[05:17.60]  La
[05:17.77]  superficie
[05:18.39]  tiene
[05:18.71]  millones
[05:19.25]  de
[05:19.38]  huequitos
[05:20.00]  y
[05:20.06]  el
[05:20.48]  agua
[05:20.51]  se
[05:20.65]  mete
[05:20.89]  adentro
[05:21.40]  por
[05:21.56]  un
[05:21.66]  efecto
[05:22.00]  que
[05:22.22]  se
[05:22.37]  llama
[05:22.75]  capilaridad.
[05:23.60]  Como
[05:23.83]  cuando
[05:24.18]  una
[05:24.35]  servilleta
[05:24.95]  chupa
[05:25.20]  un
[05:25.31]  líquido.
[05:26.00]  El
[05:26.17]  agua
[05:26.45]  se
[05:26.59]  agarra,
[05:27.20]  se
[05:27.34]  mete
[05:27.65]  y
[05:27.72]  ahí
[05:28.02]  empieza
[05:28.70]  el
[05:28.91]  problema.
[05:29.60]  Incha
[05:30.02]  la
[05:30.15]  fibra,
[05:30.72]  la
[05:30.88]  ablanda
[05:31.44]  y
[05:31.52]  llega
[05:31.93]  el
[05:32.09]  hongo.
[05:32.80]  La
[05:32.97]  silicona
[05:33.47]  hace
[05:33.80]  todo
[05:34.01]  lo
[05:34.14]  contrario.
[05:35.14]  Deja
[05:35.28]  sobre
[05:35.63]  la
[05:35.77]  madera
[05:36.19]  una
[05:36.40]  película
[05:37.03]  finita,
[05:37.91]  invisible,
[05:38.36]  a
[05:38.43]  la
[05:38.57]  que
[05:38.78]  el
[05:38.92]  agua
[05:39.20]  no
[05:39.34]  se
[05:39.48]  puede
[05:39.86]  agarrar.
[05:40.60]  El
[05:40.77]  agua,
[05:41.11]  cuando
[05:41.49]  no
[05:41.62]  tiene
[05:41.95]  de
[05:42.07]  dónde
[05:42.44]  agarrarse,
[05:43.45]  hace
[05:43.51]  lo
[05:43.57]  que
[05:43.76]  hace
[05:44.01]  naturalmente.
[05:45.00]  Se
[05:45.17]  junta
[05:45.46]  en
[05:45.59]  una
[05:45.79]  bolita,
[05:46.35]  en
[05:46.45]  una
[05:46.65]  gota
[05:46.91]  redonda,
[05:47.85]  para
[05:47.91]  ocupar
[05:48.23]  el
[05:48.34]  menor
[05:48.69]  espacio
[05:49.11]  posible.
[05:49.80]  Y
[05:49.97]  esa
[05:50.12]  bolita,
[05:50.80]  sobre
[05:51.16]  una
[05:51.40]  superficie
[05:52.20]  resbaladiza,
[05:53.24]  rueda
[05:53.64]  y
[05:53.72]  se
[05:53.88]  cae.
[05:54.40]  No
[05:54.59]  penetra,
[05:55.45]  no
[05:55.64]  moja,
[05:56.21]  resbala.
[05:57.20]  Es
[05:57.37]  exactamente
[05:58.20]  lo
[05:58.26]  que
[05:58.47]  hace
[05:58.75]  la
[05:58.91]  hoja
[05:59.22]  de
[05:59.31]  un
[05:59.45]  repollo
[06:00.07]  o
[06:00.11]  la
[06:00.25]  hoja
[06:00.49]  de
[06:00.63]  loto
[06:00.92]  cuando
[06:01.35]  le
[06:01.50]  cae
[06:01.71]  el
[06:01.85]  rocío.
[06:02.75]  El
[06:02.77]  agua
[06:03.09]  se
[06:03.25]  hace
[06:03.60]  perlitas
[06:04.22]  y
[06:04.31]  rueda.
[06:05.00]  La
[06:05.17]  naturaleza
[06:05.78]  inventó
[06:06.34]  esto
[06:06.56]  hace
[06:06.82]  millones
[06:07.34]  de
[06:07.46]  años.
[06:08.00]  Nosotros
[06:08.48]  lo
[06:08.59]  copiamos
[06:09.08]  con
[06:09.26]  un
[06:09.38]  frasco
[06:09.74]  de
[06:09.86]  silicona.
[06:10.40]  Por
[06:10.60]  eso,
[06:10.92]  cuando
[06:11.40]  lo
[06:11.45]  veas
[06:11.74]  aplicado,
[06:12.42]  no
[06:12.57]  vas
[06:12.81]  a
[06:12.90]  ver
[06:13.31]  la
[06:13.34]  madera
[06:13.86]  mojada
[06:14.37]  y
[06:14.45]  protegida.
[06:15.60]  Vas
[06:15.80]  a
[06:15.86]  ver
[06:16.06]  el
[06:16.18]  agua
[06:16.46]  resbalando,
[06:17.31]  haciéndose
[06:17.99]  bolitas,
[06:18.65]  cayéndose.
[06:19.60]  La
[06:19.77]  superficie
[06:20.48]  queda
[06:20.85]  seca.
[06:21.40]  Le
[06:21.57]  pasas
[06:21.90]  un
[06:22.04]  trapo
[06:22.40]  y
[06:22.47]  está
[06:22.84]  seca.
[06:23.40]  Parece
[06:23.82]  plástico,
[06:24.52]  parece
[06:24.92]  mármol.
[06:25.60]  Pero
[06:25.88]  abajo
[06:26.23]  es
[06:26.37]  tu
[06:26.51]  tabla
[06:26.86]  de
[06:27.00]  pino
[06:27.31]  de
[06:27.42]  dos
[06:27.63]  pesos.
[06:28.27]  Y
[06:28.37]  acá
[06:28.55]  está
[06:28.90]  la
[06:29.04]  otra
[06:29.31]  ventaja,
[06:29.95]  la
[06:30.09]  que
[06:30.30]  las
[06:30.51]  pinturas
[06:31.11]  y
[06:31.14]  los
[06:31.35]  barnices
[06:31.91]  no
[06:32.05]  te
[06:32.19]  dan,
[06:32.60]  la
[06:32.76]  velocidad.
[06:33.80]  Un
[06:33.97]  barniz,
[06:34.42]  un
[06:34.55]  impermeabilizante
[06:35.61]  de
[06:35.74]  lata,
[06:36.20]  cualquier
[06:36.71]  producto
[06:37.07]  de
[06:37.17]  esos,
[06:37.59]  te
[06:37.79]  dice
[06:38.20]  aplicar
[06:39.00]  y
[06:39.20]  esperar
[06:39.40]  24
[06:40.11]  horas.
[06:40.80]  Un
[06:40.97]  día
[06:41.28]  entero.
[06:42.00]  Y
[06:42.14]  a
[06:42.17]  veces
[06:42.49]  dos
[06:42.70]  manos,
[06:43.19]  o
[06:43.26]  sea,
[06:43.61]  dos
[06:43.82]  días.
[06:44.40]  Esto
[06:44.84]  no.
[06:45.40]  El
[06:45.57]  disolvente
[06:46.27]  se
[06:46.42]  evapora
[06:46.93]  rápido,
[06:47.59]  se
[06:47.74]  va
