[00:00.14]  Hay
[00:34.96]  vuelven
[00:35.38]  a
[00:35.45]  verse
[00:35.74]  como
[00:35.98]  piezas
[00:36.34]  de
[00:36.46]  exhibición.
[00:37.28]  Sin
[00:37.50]  lijar,
[00:38.02]  sin
[00:38.25]  herramientas
[00:39.19]  eléctricas,
[00:40.11]  sin
[00:40.33]  experiencia
[00:41.18]  previa,
[00:41.83]  esta
[00:42.07]  fórmula
[00:42.43]  existe
[00:42.72]  desde
[00:42.96]  antes
[00:43.29]  de
[00:43.42]  la
[00:43.57]  Segunda
[00:44.00]  Guerra
[00:44.39]  Mundial.
[00:45.08]  Los
[00:45.26]  artesanos
[00:45.78]  de
[00:45.94]  los
[00:46.08]  años
[00:46.37]  30
[00:46.72]  la
[00:46.84]  sabían
[00:47.25]  de
[00:47.46]  memoria,
[00:47.89]  los
[00:48.07]  evanistas
[00:48.71]  la
[00:48.73]  pasaban
[00:49.12]  de
[00:49.23]  padre
[00:49.64]  a
[00:49.78]  hijo
[00:50.00]  como
[00:50.29]  un
[00:50.43]  secreto
[00:50.93]  de
[00:51.07]  familia,
[00:51.76]  hasta
[00:52.03]  que
[00:52.19]  la
[00:52.30]  industria
[00:52.79]  de
[00:52.89]  la
[00:53.01]  restauración
[00:53.73]  de
[00:53.84]  madera
[00:54.36]  se
[00:54.38]  dio
[00:54.62]  cuenta
[00:55.10]  de
[00:55.26]  algo.
[00:55.84]  Algo
[00:56.06]  que
[00:56.22]  les
[00:56.45]  hizo
[00:56.63]  mucho
[00:56.91]  ruido.
[00:57.40]  Si
[00:57.54]  la
[00:57.62]  gente
[00:57.91]  aprendía
[00:58.43]  a
[00:58.48]  usar
[00:58.71]  este
[00:58.94]  líquido,
[00:59.50]  dejaban
[00:59.90]  de
[01:00.01]  llamar
[01:00.35]  al
[01:00.45]  contratista.
[01:01.40]  Una
[01:01.58]  botella
[01:02.01]  de
[01:02.12]  un
[01:02.26]  dólar
[01:02.62]  reemplazaba
[01:03.31]  un
[01:03.38]  servicio
[01:03.85]  de
[01:03.98]  cientos,
[01:04.52]  y
[01:04.58]  eso
[01:04.75]  no
[01:05.00]  lo
[01:05.05]  podían
[01:05.42]  permitir.
[01:06.12]  Así
[01:06.35]  que
[01:06.52]  la
[01:06.63]  enterraron.
[01:07.40]  No
[01:07.54]  porque
[01:07.84]  fallara,
[01:08.37]  la
[01:08.44]  enterraron
[01:08.98]  porque
[01:09.31]  funcionaba
[01:09.86]  demasiado
[01:10.36]  bien.
[01:10.80]  Yo
[01:10.94]  soy
[01:11.12]  Tomás,
[01:11.66]  y
[01:11.69]  hoy
[01:11.88]  la
[01:12.02]  vamos
[01:12.34]  a
[01:12.40]  desenterrar,
[01:13.24]  completa,
[01:13.90]  con
[01:14.09]  las
[01:14.46]  medidas
[01:14.74]  exactas.
[01:15.52]  Esto
[01:15.72]  es
[01:15.82]  el
[01:15.92]  constructor
[01:16.49]  libre.
[01:16.88]  Ahora,
[01:17.39]  antes
[01:17.76]  de
[01:17.90]  la
[01:18.10]  fórmula,
[01:18.79]  tenés
[01:19.26]  que
[01:19.42]  entender
[01:20.01]  una
[01:20.23]  cosa.
[01:20.84]  Porque
[01:21.16]  si
[01:21.26]  no
[01:21.36]  entendés
[01:21.84]  esto,
[01:22.15]  cualquier
[01:22.63]  mezcla
[01:22.95]  que
[01:23.22]  uses
[01:23.32]  te
[01:23.42]  va
[01:23.52]  a
[01:23.57]  fallar.
[01:24.30]  La
[01:24.36]  madera
[01:25.02]  no
[01:25.18]  se
[01:25.38]  pone
[01:25.79]  gris
[01:26.19]  porque
[01:26.80]  esté
[01:27.32]  sucia.
[01:28.20]  Se
[01:28.37]  pone
[01:28.72]  gris
[01:29.05]  porque
[01:29.59]  está
[01:30.03]  muerta
[01:30.58]  por
[01:30.81]  fuera.
[01:31.60]  El
[01:31.74]  sol
[01:31.95]  rompe
[01:32.30]  una
[01:32.51]  sustancia
[01:33.16]  que
[01:33.37]  se
[01:33.51]  llama
[01:33.94]  lignina,
[01:34.50]  que
[01:34.71]  es
[01:34.85]  el
[01:35.20]  pegamento
[01:35.63]  natural
[01:36.14]  de
[01:36.28]  la
[01:36.56]  madera,
[01:37.16]  y
[01:37.30]  la
[01:37.40]  lluvia
[01:37.88]  se
[01:38.04]  lleva
[01:38.46]  a
[01:38.55]  los
[01:38.79]  restos.
[01:39.60]  Queda
[01:39.99]  una
[01:40.23]  capa
[01:40.57]  de
[01:40.70]  fibra
[01:41.09]  seca,
[01:41.55]  apagada,
[01:42.24]  sin
[01:42.48]  una
[01:42.72]  gota
[01:43.19]  de
[01:43.26]  aceite.
[01:44.00]  Ese
[01:44.23]  gris
[01:44.61]  de
[01:44.70]  la
[01:44.86]  cerca,
[01:45.41]  del
[01:45.65]  banco
[01:46.05]  del
[01:46.38]  patio,
[01:46.84]  de
[01:47.00]  la
[01:47.16]  puerta
[01:47.66]  vieja,
[01:48.17]  es
[01:48.33]  madera
[01:49.04]  sedienta,
[01:49.57]  deshidratada.
[01:51.02]  Por
[01:51.12]  eso,
[01:51.52]  lijar
[01:51.92]  y
[01:52.00]  barnizar
[01:52.64]  es
[01:52.81]  tirar
[01:53.26]  la
[01:53.37]  plata.
[01:54.08]  Le
[01:54.22]  pones
[01:54.53]  una
[01:54.72]  capa
[01:54.97]  de
[01:55.10]  plástico
[01:55.68]  arriba
[01:56.07]  a
[01:56.13]  una
[01:56.32]  madera
[01:56.70]  que
[01:56.89]  por
[01:57.08]  dentro
[01:57.73]  sigue
[01:57.79]  muerta.
[01:58.48]  En
[01:58.63]  un
[01:58.78]  año
[01:59.09]  se
[01:59.24]  descascara
[02:00.01]  y
[02:00.08]  estás
[02:00.54]  peor
[02:00.86]  que
[02:01.07]  al
[02:01.22]  principio.
[02:02.20]  Pintar
[02:02.62]  una
[02:02.83]  madera
[02:03.25]  de
[02:03.42]  beta
[02:03.68]  linda
[02:04.04]  con
[02:04.25]  barniz
[02:04.68]  que
[02:04.89]  la
[02:05.03]  tapa
[02:05.32]  es
[02:05.45]  un
[02:05.81]  sacrilegio.
[02:06.64]  Lo
[02:06.78]  que
[02:06.94]  hacían
[02:07.36]  los
[02:07.54]  viejos
[02:07.90]  era
[02:08.08]  al
[02:08.20]  revés.
[02:08.80]  En
[02:08.94]  vez
[02:09.15]  de
[02:09.29]  tapar
[02:09.66]  el
[02:09.77]  dano,
[02:10.20]  alimentaban
[02:10.98]  la
[02:11.18]  madera.
[02:11.84]  Le
[02:11.98]  devolvían
[02:12.53]  el
[02:12.70]  aceite
[02:13.06]  que
[02:13.23]  había
[02:13.53]  perdido.
[02:14.18]  Y
[02:14.32]  ahí
[02:14.60]  es
[02:14.78]  donde
[02:15.20]  entra
[02:15.63]  la
[02:15.80]  mezcla.
[02:16.60]  Son
[02:16.84]  tres
[02:17.20]  cosas.
[02:17.84]  Tres.
[02:18.90]  Y
[02:18.98]  presta
[02:19.30]  atención
[02:19.91]  porque
[02:20.32]  cada
[02:20.61]  una
[02:20.79]  hace
[02:21.06]  un
[02:21.22]  trabajo
[02:21.67]  distinto
[02:22.22]  y
[02:22.49]  acá
[02:22.59]  es
[02:22.74]  donde
[02:23.02]  casi
[02:23.27]  todos
[02:23.60]  se
[02:23.74]  confunden.
[02:24.60]  La
[02:24.76]  primera,
[02:25.49]  vinagre
[02:26.05]  blanco.
[02:26.80]  Y
[02:26.92]  ojo
[02:27.05]  con
[02:27.25]  esto
[02:27.52]  porque
[02:27.93]  casi
[02:28.20]  nadie
[02:28.56]  lo
[02:28.71]  explica.
[02:29.40]  El
[02:29.56]  vinagre
[02:30.10]  no
[02:30.26]  es
[02:30.42]  para
[02:30.79]  limpiar.
[02:31.56]  El
[02:31.71]  vinagre
[02:32.24]  neutraliza
[02:33.00]  el
[02:33.14]  gris.
[02:33.72]  Deshace
[02:34.21]  esa
[02:34.42]  capa
[02:34.70]  oxidada
[02:35.19]  y
[02:35.26]  muerta
[02:35.68]  de
[02:35.82]  la
[02:35.96]  superficie.
[02:36.72]  Y
[02:36.86]  abre
[02:37.02]  la
[02:37.14]  fibra
[02:37.44]  para
[02:37.69]  que
[02:37.86]  el
[02:37.98]  aceite
[02:38.35]  pueda
[02:38.66]  entrar.
[02:39.28]  Si
[02:39.42]  te
[02:39.52]  salteas
[02:39.94]  este
[02:40.19]  paso,
[02:40.56]  le
[02:40.68]  vas
[02:40.86]  a
[02:40.92]  poner
[02:41.23]  aceite
[02:41.66]  arriba
[02:41.97]  de
[02:42.09]  una
[02:42.27]  puerta
[02:42.61]  cerrada.
[02:43.20]  Y
[02:43.34]  va
[02:43.40]  a
[02:43.47]  quedar
[02:43.88]  todo
[02:44.17]  pegado
[02:44.59]  y
[02:44.62]  feo.
[02:45.08]  Este
[02:45.32]  es
[02:45.44]  el
[02:45.56]  paso
[02:45.80]  que
[02:45.98]  le
[02:46.10]  falta
[02:46.40]  a
[02:46.47]  la
[02:46.58]  mayoría.
[02:47.42]  La
[02:47.43]  segunda,
[02:48.14]  aceite
[02:48.60]  de
[02:48.75]  linaza.
[02:49.50]  Pero
[02:49.78]  hervido.
[02:50.50]  No
[02:50.70]  crudo.
[02:51.50]  Y
[02:51.64]  acá
[02:51.78]  tengo
[02:52.11]  que
[02:52.23]  frenar
[02:52.57]  un
[02:52.72]  segundo
[02:53.08]  porque
[02:53.43]  es
[02:53.53]  la
[02:53.65]  confusión
[02:54.21]  más
[02:54.44]  común
[02:54.78]  de
[02:55.15]  todas.
[02:55.42]  Mucha
[02:55.73]  gente
[02:56.04]  pregunta
[02:56.54]  ¿el
[02:56.81]  aceite
[02:57.14]  de
[02:57.33]  linaza
[02:57.63]  hervido
[02:58.05]  se
[02:58.17]  hace
[02:58.42]  hirviendo
[02:59.07]  la
[02:59.09]  semilla
[02:59.51]  con
[02:59.80]  agua?
[03:00.80]  No.
[03:01.80]  Y
[03:01.93]  es
[03:01.94]  una
[03:02.07]  duda
[03:02.26]  lógica
[03:02.59]  por
[03:02.77]  el
[03:02.82]  nombre.
[03:03.30]  Hervido
[03:03.68]  es
[03:03.80]  solo
[03:04.03]  como
[03:04.27]  se
[03:04.37]  llama.
[03:04.90]  El
[03:05.05]  aceite
[03:05.51]  de
[03:05.65]  linaza
[03:06.12]  hervido,
[03:06.81]  que
[03:06.97]  en
[03:07.12]  inglés
[03:07.64]  vas
[03:07.86]  a
[03:07.92]  ver
[03:08.15]  como
[03:08.52]  "boiled
[03:08.97]  linseed
[03:09.48]  oil",
[03:10.04]  no
[03:10.05]  lo
[03:10.16]  hervís
[03:10.68]  vos.
[03:11.16]  Ya
[03:11.30]  viene
[03:11.54]  tratado
[03:11.92]  para
[03:12.13]  que
[03:12.30]  seque
[03:12.57]  rápido.
[03:13.27]  Si
[03:13.30]  hervís
[03:13.66]  las
[03:13.83]  semillas
[03:14.29]  con
[03:14.46]  agua,
[03:14.80]  te
[03:14.95]  sale
[03:15.14]  un
[03:15.25]  gel
[03:15.42]  pegajoso
[03:15.87]  que
[03:16.04]  no
[03:16.15]  sirve
[03:16.43]  para
[03:16.81]  nada.
[03:17.28]  Lo
[03:17.42]  compras
[03:17.89]  ya
[03:17.93]  hervido,
[03:18.50]  cuesta
[03:18.79]  monedas.
[03:19.44]  Y
[03:19.58]  si
[03:19.62]  en
[03:19.74]  tu
[03:19.86]  ferretería
[03:20.52]  solo
[03:20.76]  hay
[03:20.94]  linaza
[03:21.35]  cruda,
[03:21.82]  tranquilo,
[03:22.38]  sirve
[03:22.68]  igual.
[03:23.24]  Solo
[03:23.47]  que
[03:23.64]  tarda
[03:23.91]  más
[03:24.14]  en
[03:24.25]  secar,
[03:24.64]  es
[03:24.75]  la
[03:24.86]  única
[03:25.20]  diferencia.
[03:26.00]  La
[03:26.14]  tercera,
[03:26.77]  trementina.
[03:27.74]  Y
[03:27.88]  acá
[03:28.05]  otra
[03:28.35]  aclaración,
[03:29.13]  para
[03:29.36]  los
[03:29.55]  que
[03:29.74]  me
[03:29.86]  ven
[03:30.12]  desde
[03:30.37]  México.
[03:31.08]  En
[03:31.22]  la
[03:31.32]  tlapalería
[03:31.98]  la
[03:32.10]  vas
[03:32.30]  a
[03:32.34]  encontrar
[03:32.89]  como
[03:33.13]  aguarras
[03:33.61]  de
[03:33.73]  primera
[03:34.14]  calidad.
[03:34.84]  Es
[03:35.00]  lo
[03:35.16]  mismo.
[03:35.84]  La
[03:35.98]  trementina
[03:36.47]  es
[03:36.57]  la
[03:36.70]  que
[03:36.83]  empuja
[03:37.14]  el
[03:37.24]  aceite
[03:37.55]  adentro
[03:37.92]  de
[03:38.02]  la
[03:38.22]  fibra,
[03:38.48]  en
[03:38.58]  vez
[03:38.74]  de
[03:38.84]  dejarlo
[03:39.21]  arriba
[03:39.53]  haciendo
[03:40.12]  pegote.
[03:41.26]  Ahora
[03:41.42]  sí,
[03:41.73]  las
[03:41.90]  proporciones
[03:42.62]  exactas.
[03:43.24]  Esto
[03:43.45]  es
[03:43.55]  lo
[03:43.65]  que
[03:43.85]  casi
[03:44.02]  nunca
[03:44.29]  te
[03:44.39]  dan,
[03:44.65]  y
[03:44.69]  por
[03:44.86]  lo
[03:44.95]  que
[03:45.15]  la
[03:45.22]  gente
[03:45.49]  termina
[03:45.86]  arruinando
[03:46.37]  la
[03:46.47]  madera.
[03:47.08]  Hay
[03:47.32]  quien
[03:47.72]  dice
[03:48.05]  "partes
[03:48.60]  iguales
[03:49.16]  de
[03:49.32]  las
[03:49.56]  tres
[03:49.88]  cosas,
[03:50.45]  todo
[03:50.76]  igual".
[03:51.52]  Y
[03:51.66]  no
[03:51.74]  está
[03:52.13]  del
[03:52.38]  todo
[03:52.64]  mal,
[03:53.01]  pero
[03:53.31]  no
[03:53.46]  es
[03:53.61]  lo
[03:53.76]  mejor,
[03:54.29]  y
[03:54.36]  te
[03:54.51]  explico
[03:55.17]  por
[03:55.25]  qué.
[03:55.88]  El
[03:56.04]  vinagre
[03:56.61]  es
[03:56.77]  agua.
[03:57.38]  El
[03:57.52]  aceite
[03:57.99]  el
[03:58.08]  agua
[03:58.35]  la
[03:58.50]  rechaza.
[03:59.24]  Si
[03:59.38]  los
[03:59.60]  mezclas
[04:00.10]  de
[04:00.24]  una,
[04:00.63]  se
[04:00.74]  pelean.
[04:01.48]  Por
[04:01.69]  eso
[04:01.90]  se
[04:02.08]  separa.
[04:02.68]  Así
[04:02.98]  se
[04:03.13]  hace
[04:03.43]  bien.
[04:03.96]  Primero
[04:04.46]  el
[04:04.60]  vinagre
[04:05.10]  solo,
[04:05.53]  blanco,
[04:06.11]  con
[04:06.34]  un
[04:06.46]  trapo
[04:06.82]  o
[04:06.89]  un
[04:07.03]  cepillo,
[04:07.68]  sobre
[04:08.04]  la
[04:08.18]  madera
[04:08.61]  gris.
[04:09.37]  Lo
[04:09.38]  dejas
[04:09.70]  cinco
[04:10.04]  minutos,
[04:10.64]  y
[04:10.69]  vas
[04:10.90]  a
[04:10.96]  ver
[04:11.17]  como
[04:11.43]  el
[04:11.62]  gris
[04:11.82]  empieza
[04:12.29]  a
[04:12.35]  aflojar.
[04:13.12]  Eso
[04:13.35]  limpia
[04:13.80]  y
[04:13.87]  despierta
[04:14.55]  la
[04:14.70]  fibra.
[04:15.36]  Lo
[04:15.50]  dejas
[04:15.81]  secar.
[04:16.36]  Después,
[04:17.22]  ahí
[04:17.49]  sí,
[04:17.89]  la
[04:18.05]  mezcla
[04:18.53]  que
[04:18.77]  nutre.
[04:19.48]  Y
[04:19.62]  son
[04:19.76]  dos
[04:19.97]  recetas,
[04:20.60]  según
[04:21.03]  lo
[04:21.17]  que
[04:21.39]  necesites.
[04:22.28]  Para
[04:22.60]  restaurar
[04:23.32]  madera
[04:23.80]  gris
[04:24.12]  y
[04:24.21]  reseca.
[04:24.72]  Una
[04:24.91]  parte
[04:25.23]  de
[04:25.36]  aceite
[04:25.74]  de
[04:25.87]  linaza
[04:26.25]  hervido,
[04:26.81]  una
[04:27.10]  parte
[04:27.32]  de
[04:27.45]  trementina.
[04:28.36]  Mitad
[04:28.84]  y
[04:28.96]  mitad.
[04:29.72]  Bien
[04:29.98]  líquida,
[04:30.63]  para
[04:30.94]  que
[04:31.11]  penetre
[04:31.56]  profundo
[04:32.10]  en
[04:32.21]  esa
[04:32.41]  madera
[04:32.81]  sedienta.
[04:33.60]  Para
[04:33.85]  mantener
[04:34.35]  madera
[04:34.73]  que
[04:34.92]  ya
[04:35.04]  está
[04:35.39]  sana,
[04:35.72]  o
[04:35.78]  para
[04:36.03]  las
[04:36.22]  manos
[04:36.53]  que
[04:36.72]  siguen.
[04:37.50]  Dos
[04:37.57]  partes
[04:38.00]  de
[04:38.14]  aceite,
[04:38.75]  una
[04:38.92]  de
[04:39.06]  trementina.
[04:40.04]  Más
[04:40.28]  aceite,
[04:40.77]  menos
[04:41.07]  solvente,
[04:41.67]  más
[04:41.95]  protección
[04:42.58]  arriba.
[04:43.20]  Ponle
[04:43.62]  pausa
[04:44.06]  y
[04:44.11]  anotalo
[04:44.71]  ahora
[04:45.13]  si
[04:45.30]  hace
[04:45.64]  falta.
[04:46.36]  Con
[04:46.53]  esas
[04:46.75]  dos
[04:46.97]  fórmulas,
[04:47.58]  ya
[04:47.75]  arreglas
[04:48.30]  el
[04:48.45]  90%
[04:48.96]  de
[04:49.11]  la
[04:49.26]  madera
[04:49.69]  de
[04:50.00]  tu
[04:50.02]  casa.
[04:50.56]  Hoy
[04:50.98]  mismo.
[04:52.12]  Ahora,
[04:52.56]  si
[04:52.73]  vas
[04:52.87]  en
[04:52.99]  serio
[04:53.34]  con
[04:53.51]  esto,
[04:53.92]  en
[04:54.05]  algún
[04:54.50]  momento
[04:54.90]  vas
[04:55.09]  a
[04:55.14]  querer
[04:55.73]  las
[04:55.78]  medidas
[04:56.19]  finas.
[04:56.76]  ¿Cuántos
[04:57.37]  mililitros
[04:57.86]  para
[04:58.08]  una
[04:58.25]  puerta?
[04:58.80]  ¿Cuántos
[04:59.40]  para
[04:59.66]  un
[04:59.77]  deque
[05:00.06]  entero?
[05:00.64]  ¿Qué
[05:00.95]  cambia
[05:01.26]  si
[05:01.36]  la
[05:01.50]  madera
[05:01.78]  es
[05:01.88]  dura
[05:02.09]  o
[05:02.14]  blanda?
[05:02.72]  ¿Si
[05:03.04]  es
[05:03.20]  pino
[05:03.58]  o
[05:03.61]  si
[05:03.77]  es
[05:03.94]  quebracho?
[05:05.14]  Toda
[05:05.25]  esa
[05:05.44]  tabla,
[05:05.87]  en
[05:05.99]  mililitros
[05:06.62]  y
[05:06.68]  en
[05:06.80]  cucharadas,
[05:07.64]  lista
[05:07.96]  para
[05:08.25]  imprimir
[05:08.73]  y
[05:08.79]  pegar
[05:09.11]  en
[05:09.24]  la
[05:09.36]  pared
[05:09.69]  del
[05:09.88]  taller,
[05:10.36]  la
[05:10.50]  armen
[05:10.82]  el
[05:10.96]  manual
[05:11.35]  del
[05:11.58]  constructor
[05:12.29]  libre,
[05:12.77]  junto
[05:13.10]  con
[05:13.30]  otros
[05:13.63]  39
[05:14.02]  arreglos
[05:14.53]  de
[05:14.66]  un
[05:14.79]  dólar.
[05:15.44]  El
[05:15.60]  link
[05:15.92]  te
[05:16.08]  lo
[05:16.30]  dejo
[05:16.56]  abajo.
[05:17.24]  Pero
[05:17.48]  tranquilo,
[05:18.15]  con
[05:18.33]  lo
[05:18.46]  que
[05:18.63]  te
[05:18.72]  di
[05:18.82]  recién,
[05:19.36]  ya
[05:19.50]  podés
[05:19.93]  empezar.
[05:20.68]  Seguimos.
[05:22.16]  Bien,
[05:22.76]  ahora
[05:23.17]  las
[05:23.44]  dudas.
[05:24.20]  Las
[05:24.34]  preguntas
[05:24.81]  que
[05:24.91]  siempre
[05:25.25]  quedan
[05:25.59]  colgando
[05:25.99]  cuando
[05:26.30]  alguien
[05:26.70]  muestra
[05:27.10]  esta
[05:27.33]  mezcla.
[05:27.88]  Las
[05:28.10]  voy
[05:28.32]  a
[05:28.39]  responder
[05:29.10]  una
[05:29.29]  por
[05:29.51]  una.
[05:30.00]  Primera,
[05:30.86]  la
[05:30.99]  más
[05:31.39]  repetida.
[05:32.50]  La
[05:32.61]  mía
[05:33.10]  quedó
[05:33.83]  pegajosa
[05:34.80]  y
[05:34.93]  nunca
[05:35.55]  seco.
[05:36.48]  Dos
[05:36.73]  causas,
[05:37.38]  siempre
[05:37.96]  las
[05:38.27]  mismas.
[05:39.00]  ¿O
[05:39.24]  usaste
[05:39.73]  linaza
[05:40.23]  cruda
[05:40.64]  y
[05:40.71]  no
[05:40.91]  tuviste
[05:41.45]  paciencia?
[05:42.28]  ¿O
[05:42.46]  pusiste
[05:42.88]  demasiado
[05:43.50]  aceite?
[05:44.04]  Grabate
[05:44.47]  esta
[05:44.72]  regla,
[05:45.14]  es
[05:45.26]  la
[05:45.43]  más
[05:45.63]  importante
[05:46.26]  de
[05:46.42]  todo
[05:46.63]  el
[05:46.75]  video.
[05:47.32]  La
[05:47.46]  madera
[05:47.93]  toma
[05:48.18]  lo
[05:48.29]  que
[05:48.54]  necesita
[05:49.12]  y
[05:49.23]  el
[05:49.34]  resto
[05:49.71]  lo
[05:49.86]  tenés
[05:50.30]  que
[05:50.51]  sacar
[05:50.97]  vos.
[05:51.40]  A
[05:51.54]  los
[05:51.62]  20
[05:52.00]  minutos
[05:52.37]  de
[05:52.48]  aplicar,
[05:53.04]  agarras
[05:53.63]  un
[05:53.80]  trapo
[05:54.22]  seco
[05:54.55]  y
[05:54.63]  limpio
[05:55.20]  y
[05:55.34]  retiras
[05:55.86]  todo
[05:56.19]  lo
[05:56.35]  que
[05:56.60]  no
[05:56.76]  absorbió.
[05:57.80]  Todo
[05:58.05]  el
[05:58.17]  brillo
[05:58.54]  que
[05:58.71]  quedó
[05:59.09]  arriba,
[05:59.58]  afuera.
[06:00.34]  Si
[06:00.36]  haces
[06:00.81]  eso,
[06:01.17]  nunca
[06:01.59]  te
[06:01.72]  queda
[06:02.13]  pegajosa,
[06:02.92]  nunca.
[06:03.60]  Segunda,
[06:04.32]  ¿sirve
[06:04.88]  en
[06:05.04]  madera
[06:05.53]  pintada
[06:06.08]  o
[06:06.16]  barnizada?
[06:07.16]  No,
[06:07.50]  esto
[06:07.84]  es
[06:08.02]  para
[06:08.38]  madera
[06:08.85]  cruda
[06:09.27]  o
[06:09.35]  gastada.
[06:10.24]  Si
[06:10.38]  tiene
[06:10.69]  una
[06:10.88]  capa
[06:11.13]  de
[06:11.26]  barniz
[06:11.64]  sana
[06:11.90]  arriba,
[06:12.43]  el
[06:12.62]  aceite
[06:12.88]  no
[06:12.99]  tiene
[06:13.27]  por
[06:13.43]  dónde
[06:13.89]  entrar.
[06:14.32]  Tenés
[06:14.68]  que
[06:14.93]  lijar
[06:15.18]  apenas,
[06:15.64]  lo
[06:15.76]  justo
[06:16.11]  para
[06:16.30]  llegar
[06:16.70]  a
[06:16.72]  la
[06:16.84]  madera.
[06:17.44]  No
[06:17.58]  para
[06:17.81]  dejarla
[06:18.30]  perfecta,
[06:18.92]  solo
[06:19.14]  para
[06:19.37]  abrirle
[06:19.82]  la
[06:19.86]  puerta.
[06:20.40]  Tercera,
[06:21.17]  y
[06:21.26]  esta
[06:21.62]  es
[06:21.79]  importante,
[06:22.72]  ¿puedo
[06:23.32]  usarla
[06:23.78]  en
[06:23.94]  una
[06:24.19]  mesa
[06:24.52]  donde
[06:24.93]  como
[06:25.32]  o
[06:25.43]  en
[06:25.65]  una
[06:25.97]  tabla
[06:26.63]  de
[06:26.75]  cortar?
[06:27.90]  Sí,
[06:28.09]  pero
[06:28.37]  con
[06:28.62]  un
[06:28.73]  cambio,
[06:29.21]  para
[06:29.55]  algo
[06:29.76]  que
[06:29.96]  toca
[06:30.23]  comida,
[06:30.68]  usa
[06:30.89]  aceite
[06:31.31]  de
[06:31.45]  linaza
[06:31.90]  puro,
[06:32.32]  sin
[06:32.59]  la
[06:32.77]  trementina,
[06:33.68]  y
[06:33.82]  déjalo
[06:34.19]  curar
[06:34.54]  bien,
[06:34.93]  dos
[06:35.13]  o
[06:35.19]  tres
[06:35.46]  semanas.
[06:36.20]  La
[06:36.34]  trementina
[06:36.90]  es
[06:37.06]  solvente,
[06:37.64]  no
[06:37.76]  la
[06:37.88]  querés
[06:38.32]  cerca
[06:38.63]  del
[06:38.82]  pan.
[06:39.24]  Aceite
[06:39.84]  solo,
[06:40.39]  paciencia,
[06:41.42]  y
[06:41.49]  queda
[06:41.84]  una
[06:42.05]  superficie
[06:42.89]  sana
[06:43.14]  para
[06:43.32]  comer.
[06:43.92]  Cuarta,
[06:44.53]  ¿aguanta
[06:45.19]  afuera,
[06:45.83]  la
[06:45.93]  lluvia
[06:46.38]  no
[06:46.53]  se
[06:46.68]  lo
[06:46.83]  lleva?
[06:47.48]  Aguanta,
[06:48.20]  y
[06:48.28]  muy
[06:48.52]  bien.
[06:49.12]  Hay
[06:49.28]  gente
[06:49.55]  que
[06:49.73]  trató
[06:50.02]  la
[06:50.12]  madera
[06:50.44]  de
[06:50.54]  su
[06:50.64]  casa
[06:50.92]  hace
[06:51.22]  50
[06:51.68]  años
[06:52.08]  y
[06:52.16]  sigue
[06:52.77]  firme.
