[00:00.08]  Levantá
[03:06.32]  Un
[03:06.43]  impermeabilizante
[03:07.37]  que
[03:07.53]  dura
[03:07.75]  20
[03:08.40]  años
[03:08.49]  no
[03:08.52]  le
[03:08.64]  sirve
[03:08.94]  a
[03:09.00]  nadie
[03:09.32]  que
[03:09.51]  quiera
[03:10.13]  venderte
[03:10.38]  un
[03:10.44]  balde
[03:10.81]  cada
[03:11.06]  dos.
[03:11.48]  Nosotros
[03:11.96]  vamos
[03:12.32]  a
[03:12.37]  hacer
[03:12.62]  todo
[03:12.86]  lo
[03:12.98]  contrario.
[03:13.84]  En
[03:13.89]  vez
[03:14.08]  de
[03:14.21]  una
[03:14.40]  curita
[03:14.78]  por
[03:14.97]  arriba,
[03:15.46]  vamos
[03:15.88]  a
[03:15.93]  convertir
[03:16.48]  la
[03:16.60]  piel
[03:16.87]  de
[03:16.99]  tu
[03:17.12]  losa
[03:17.37]  en
[03:17.69]  piedra
[03:17.88]  plástica.
[03:18.64]  Que
[03:18.86]  el
[03:19.07]  agua
[03:19.31]  no
[03:19.53]  entre
[03:19.84]  porque
[03:20.28]  no
[03:20.42]  hay
[03:20.81]  por
[03:20.87]  donde.
[03:21.52]  Y
[03:21.60]  déjame
[03:22.08]  que
[03:22.28]  te
[03:22.43]  explique
[03:22.99]  lo
[03:23.13]  que
[03:23.62]  pasa
[03:23.69]  adentro
[03:24.11]  de
[03:24.25]  tu
[03:24.39]  losa
[03:24.67]  cuando
[03:25.23]  el
[03:25.45]  agua
[03:25.51]  entra,
[03:25.92]  porque
[03:26.39]  es
[03:26.54]  peor
[03:26.84]  de
[03:26.99]  lo
[03:27.14]  que
[03:27.37]  pensas.
[03:28.12]  A
[03:28.20]  esto
[03:28.55]  los
[03:28.71]  que
[03:29.01]  saben
[03:29.30]  le
[03:29.45]  dicen
[03:29.81]  el
[03:30.19]  cáncer
[03:30.48]  del
[03:30.70]  concreto.
[03:31.60]  Adentro
[03:32.03]  de
[03:32.10]  la
[03:32.21]  losa
[03:32.49]  hay
[03:32.60]  una
[03:32.77]  parrilla
[03:33.22]  de
[03:33.30]  hierro,
[03:33.88]  las
[03:34.07]  varillas,
[03:34.73]  que
[03:34.92]  le
[03:35.04]  dan
[03:35.25]  la
[03:35.53]  fuerza.
[03:36.04]  Mientras
[03:36.56]  están
[03:36.95]  secas,
[03:37.40]  no
[03:37.53]  pasa
[03:37.73]  nada.
[03:38.28]  Pero
[03:38.53]  cuando
[03:38.91]  el
[03:39.03]  agua
[03:39.28]  se
[03:39.40]  filtra
[03:39.78]  y
[03:39.84]  llega
[03:40.21]  al
[03:40.45]  hierro,
[03:40.77]  el
[03:40.89]  hierro
[03:41.26]  se
[03:41.39]  oxida.
[03:42.00]  Y
[03:42.08]  acá
[03:42.34]  está
[03:42.66]  lo
[03:42.89]  grave.
[03:43.44]  El
[03:43.49]  óxido
[03:43.87]  ocupa
[03:44.25]  hasta
[03:44.51]  siete
[03:44.83]  veces
[03:45.14]  más
[03:45.53]  espacio
[03:45.86]  que
[03:46.08]  el
[03:46.18]  hierro
[03:46.57]  sano.
[03:47.08]  Siete
[03:47.64]  veces.
[03:48.56]  Ese
[03:48.74]  hierro
[03:49.10]  hinchado
[03:49.58]  empuja
[03:49.94]  el
[03:50.06]  concreto
[03:50.73]  desde
[03:50.85]  adentro
[03:51.36]  con
[03:51.62]  una
[03:51.88]  fuerza
[03:52.49]  brutal.
[03:52.92]  Y
[03:53.00]  lo
[03:53.13]  va
[03:53.27]  reventando,
[03:54.16]  lo
[03:54.29]  va
[03:54.42]  desmoronando
[03:55.21]  en
[03:55.34]  pedazos.
[03:56.04]  Por
[03:56.22]  eso
[03:56.40]  ves
[03:56.58]  caer
[03:56.93]  esos
[03:57.06]  cascotes
[03:57.54]  desde
[03:58.16]  abajo
[03:58.21]  del
[03:58.34]  techo,
[03:58.84]  con
[03:59.02]  el
[03:59.15]  hierro
[03:59.48]  marrón
[03:59.97]  a
[03:59.98]  la
[04:00.10]  vista.
[04:00.64]  No
[04:00.75]  es
[04:00.86]  que
[04:01.07]  el
[04:01.14]  techo
[04:01.53]  esté
[04:01.71]  viejo,
[04:02.16]  es
[04:02.26]  que
[04:02.51]  se
[04:02.51]  lo
[04:02.80]  está
[04:02.87]  comiendo
[04:03.28]  el
[04:03.38]  agua
[04:03.61]  desde
[04:03.85]  el
[04:03.95]  corazón.
[04:04.60]  Y
[04:04.68]  una
[04:04.88]  vez
[04:05.09]  que
[04:05.30]  arranco,
[04:05.94]  no
[04:06.08]  para.
[04:06.64]  Por
[04:06.82]  eso
[04:07.00]  sellar
[04:07.36]  a
[04:07.53]  tiempo
[04:07.78]  no
[04:07.90]  es
[04:08.02]  por
[04:08.20]  la
[04:08.31]  gotera
[04:08.81]  nomás.
[04:09.28]  Es
[04:09.42]  para
[04:09.71]  salvarle
[04:10.26]  la
[04:10.40]  estructura
[04:11.17]  a
[04:11.21]  tu
[04:11.45]  casa.
[04:11.92]  Y
[04:11.93]  acá
[04:12.32]  está
[04:12.79]  el
[04:12.99]  error
[04:13.47]  garrafal
[04:14.28]  que
[04:14.58]  comete
[04:15.17]  el
[04:15.77]  99%
[04:15.98]  de
[04:16.26]  la
[04:16.89]  gente.
[04:17.28]  El
[04:17.46]  que
[04:17.74]  hace
[04:18.17]  fracasar
[04:18.84]  todo.
[04:19.52]  Presta
[04:19.85]  atención,
[04:20.48]  porque
[04:20.82]  es
[04:20.93]  más
[04:21.16]  importante
[04:21.73]  que
[04:21.90]  la
[04:22.01]  mezcla
[04:22.35]  misma.
[04:22.88]  Si
[04:23.01]  el
[04:23.14]  impermeabilizante
[04:24.24]  falla,
[04:24.95]  casi
[04:25.05]  nunca
[04:25.27]  es
[04:25.40]  por
[04:25.60]  la
[04:25.72]  lluvia.
[04:26.36]  Es
[04:26.54]  por
[04:26.82]  la
[04:27.00]  superficie.
[04:28.24]  Esa
[04:28.46]  capa
[04:28.76]  gris
[04:29.13]  pareja
[04:29.52]  que
[04:29.75]  ves
[04:29.91]  en
[04:30.17]  tu
[04:30.40]  techo
[04:30.66]  no
[04:30.82]  es
[04:30.96]  el
[04:31.11]  cemento.
[04:32.04]  Es
[04:32.18]  una
[04:32.39]  costra
[04:32.93]  de
[04:32.96]  tierra,
[04:33.53]  de
[04:33.67]  grasa
[04:34.20]  del
[04:34.23]  ambiente,
[04:35.04]  de
[04:35.23]  smog,
[04:35.97]  de
[04:35.99]  moho
[04:36.38]  negro,
[04:37.09]  que
[04:37.12]  el
[04:37.21]  sol
[04:37.36]  horneo
[04:37.68]  ahí
[04:37.99]  arriba
[04:38.57]  durante
[04:39.00]  años.
[04:39.72]  Si
[04:39.76]  vos
[04:39.94]  preparas
[04:40.53]  la
[04:40.55]  mejor
[04:40.86]  mezcla
[04:41.22]  del
[04:41.40]  mundo
[04:41.77]  y
[04:41.81]  la
[04:41.89]  tiras
[04:42.22]  sobre
[04:42.50]  esa
[04:42.67]  mugre,
[04:43.08]  se
[04:43.21]  va
[04:43.33]  a
[04:43.57]  deslavar
[04:44.00]  con
[04:44.20]  la
[04:44.33]  primera
[04:44.89]  tormenta.
[04:45.60]  Le
[04:45.74]  estás
[04:46.15]  pegando
[04:46.63]  la
[04:46.77]  curita
[04:47.18]  a
[04:47.25]  la
[04:47.38]  suciedad,
[04:48.05]  no
[04:48.19]  al
[04:48.33]  techo.
[04:48.96]  Así
[04:49.18]  que
[04:49.39]  nos
[04:49.50]  toca
[04:49.72]  ponernos
[04:50.16]  rudos.
[04:50.64]  Y
[04:50.72]  esto
[04:50.92]  es
[04:51.07]  trabajo,
[04:51.54]  te
[04:51.65]  aviso.
[04:52.16]  No
[04:52.30]  hay
[04:52.51]  magia
[04:52.85]  sin
[04:53.06]  esto.
[04:53.56]  Primero,
[04:54.10]  la
[04:54.22]  espátula
[04:54.76]  de
[04:54.88]  acero,
[04:55.26]  bien
[04:55.50]  rígida.
[04:56.20]  Subite
[04:56.67]  y
[04:56.75]  raspa
[04:57.14]  con
[04:57.38]  ganas.
[04:58.04]  Cada
[04:58.28]  pellejo
[04:58.70]  de
[04:58.93]  pintura
[04:59.24]  vieja,
[04:59.66]  cada
[04:59.89]  ampolla
[05:00.32]  reventada
[05:00.86]  de
[05:00.98]  impermeabilizantes
[05:02.06]  anteriores.
[05:02.88]  El
[05:03.01]  concreto
[05:03.52]  puro
[05:03.79]  tiene
[05:04.12]  que
[05:04.32]  salir
[05:04.71]  a
[05:04.71]  la
[05:05.04]  luz.
[05:05.37]  Después,
[05:05.94]  escova
[05:06.33]  de
[05:06.46]  cerdas
[05:06.85]  duras,
[05:07.44]  un
[05:07.45]  balde
[05:07.77]  con
[05:07.99]  agua,
[05:08.39]  y
[05:08.43]  un
[05:08.56]  buen
[05:09.10]  chorro
[05:09.23]  de
[05:09.36]  detergente
[05:10.28]  corta
[05:10.48]  grasa.
[05:11.64]  Y
[05:11.72]  afregar
[05:12.16]  esa
[05:12.36]  losa
[05:12.62]  como
[05:12.89]  si
[05:13.02]  te
[05:13.15]  fuera
[05:13.49]  la
[05:13.81]  vida.
[05:14.20]  Si
[05:14.33]  tenés
[05:14.73]  una
[05:14.93]  hidrolavadora,
[05:15.90]  mejor
[05:16.37]  todavía,
[05:16.92]  pasa
[05:17.18]  la
[05:17.33]  cerquita.
[05:18.12]  Vas
[05:18.31]  a
[05:18.37]  ver
[05:18.56]  salir
[05:18.88]  un
[05:19.01]  barro
[05:19.33]  negro
[05:19.65]  asqueroso
[05:20.29]  de
[05:20.36]  los
[05:20.55]  poros
[05:20.87]  del
[05:21.06]  techo.
[05:21.68]  Manguera,
[05:22.32]  cepillo
[05:22.77]  de
[05:22.90]  nuevo,
[05:23.35]  enjuaga,
[05:23.93]  hasta
[05:24.26]  que
[05:24.44]  el
[05:24.57]  agua
[05:24.83]  que
[05:25.03]  se
[05:25.28]  va
[05:25.28]  por
[05:25.60]  la
[05:25.61]  rejilla
[05:26.11]  salga
[05:26.48]  tan
[05:26.79]  limpia
[05:27.42]  que
[05:27.73]  casi
[05:28.15]  te
[05:28.57]  la
[05:28.65]  tomas.
[05:29.44]  Y
[05:29.52]  ahora
[05:29.89]  la
[05:30.04]  regla
[05:30.42]  de
[05:30.57]  oro
[05:30.80]  que
[05:31.03]  no
[05:31.14]  podés
[05:31.64]  saltear.
[05:32.52]  Deja
[05:32.72]  que
[05:32.93]  la
[05:33.07]  azotea
[05:33.49]  se
[05:33.64]  seque
[05:33.97]  al
[05:34.11]  sol
[05:34.37]  pleno
[05:34.68]  por
[05:34.89]  lo
[05:35.03]  menos
[05:35.38]  dos
[05:35.59]  días
[05:36.29]  enteros.
[05:36.72]  El
[05:36.83]  concreto
[05:37.29]  tiene
[05:37.61]  que
[05:37.75]  deshidratarse
[05:38.65]  por
[05:38.89]  completo.
[05:39.40]  Que
[05:39.62]  los
[05:39.84]  poros
[05:40.29]  se
[05:40.34]  abran
[05:40.70]  y
[05:40.77]  pidan
[05:41.07]  agua
[05:41.49]  a
[05:41.57]  gritos.
[05:42.20]  Porque
[05:42.54]  cuando
[05:42.86]  le
[05:42.96]  echemos
[05:43.35]  el
[05:43.46]  escudo
[05:43.78]  líquido,
[05:44.37]  la
[05:44.47]  losa
[05:44.69]  seca
[05:44.92]  lo
[05:45.02]  va
[05:45.13]  a
[05:45.18]  chupar
[05:45.51]  hasta
[05:45.80]  el
[05:46.13]  fondo
[05:46.24]  como
[05:46.58]  una
[05:46.80]  aspiradora.
[05:47.88]  La
[05:48.02]  losa
[05:48.31]  húmeda
[05:48.80]  lo
[05:48.94]  escupe.
[05:49.64]  La
[05:49.79]  losa
[05:50.08]  sedienta
[05:50.66]  lo
[05:50.81]  traga.
[05:51.44]  Esa
[05:51.80]  diferencia
[05:53.03]  es
[05:53.61]  todo.
[05:54.16]  Sé,
[05:54.79]  es
[05:55.05]  laburo.
[05:56.20]  Pero
[05:56.44]  esta
[05:56.68]  friega
[05:57.09]  es
[05:57.16]  la
[05:57.28]  línea
[05:57.65]  que
[05:57.83]  separa
[05:58.32]  al
[05:58.37]  que
[05:58.50]  hace
[05:58.78]  bronca
[05:59.10]  cada
[05:59.33]  temporada,
[06:00.11]  del
[06:00.13]  que
[06:00.20]  duerme
[06:00.61]  tranquilo
[06:01.27]  aunque
[06:01.77]  caiga
[06:02.19]  un
[06:02.61]  huracán.
[06:03.32]  Tercer
[06:04.21]  día.
[06:04.74]  La
[06:04.92]  losa
[06:05.28]  se
[06:05.46]  ve
[06:05.64]  blanquecina,
[06:06.91]  se
[06:06.99]  siente
[06:07.53]  áspera
[06:08.14]  y
[06:08.67]  está
[06:08.70]  100%
[06:09.78]  seca.
[06:10.28]  Ahora
[06:10.64]  sí,
[06:10.99]  la
[06:11.17]  química.
[06:11.96]  Pero
[06:12.19]  tranquila,
[06:12.85]  nada
[06:13.05]  de
[06:13.16]  laboratorio
[06:13.78]  ni
[06:13.89]  de
[06:14.13]  pesar
[06:14.30]  gramos.
[06:14.88]  Botellas
[06:15.47]  y
[06:15.54]  tazas,
[06:16.06]  medidas
[06:16.55]  bien
[06:17.04]  peladas.
[06:17.68]  Búscate
[06:18.25]  un
[06:18.39]  rincón
[06:18.90]  con
[06:19.12]  sombra
[06:19.56]  en
[06:19.84]  el
[06:19.85]  patio.
[06:20.48]  Ni
[06:20.59]  se
[06:20.70]  te
[06:20.82]  ocurra
[06:21.13]  preparar
[06:21.58]  la
[06:21.69]  mezcla
[06:22.01]  al
[06:22.12]  rayo
[06:22.33]  del
[06:22.64]  sol,
[06:22.76]  porque
[06:23.09]  arruinas
[06:23.52]  los
[06:23.69]  materiales
[06:24.41]  antes
[06:24.66]  de
[06:24.88]  empezar.
[06:26.08]  Un
[06:26.12]  balde
[06:26.43]  de
[06:26.54]  plástico
[06:27.09]  grande
[06:27.46]  y
[06:27.52]  bien
[06:27.76]  limpio
[06:28.17]  de
[06:28.24]  esos
[06:28.48]  de
[06:28.60]  20
[06:28.97]  litros
[06:29.33]  que
[06:29.93]  siempre
[06:29.94]  sobran.
[06:30.60]  Anota
[06:30.95]  la
[06:31.09]  fórmula
[06:31.65]  o
[06:31.72]  ponele
[06:32.15]  pausa
[06:32.77]  porque
[06:32.93]  es
[06:33.07]  sagrada.
[06:33.88]  Son
[06:34.05]  cuatro
[06:34.40]  ingredientes.
[06:35.28]  Uno,
[06:36.30]  el
[06:36.71]  agua.
[06:38.16]  Cuatro
[06:38.52]  botellas
[06:39.05]  de
[06:39.12]  un
[06:39.24]  litro
[06:39.54]  de
[06:39.66]  agua
[06:39.83]  limpia,
[06:40.38]  al
[06:40.50]  tiempo,
[06:40.98]  ni
[06:41.10]  caliente
[06:41.55]  ni
[06:41.82]  fría.
[06:42.24]  Esa
