[00:00.07] Hay
[00:26.25] va
[00:26.29]  46
[00:26.72]  años
[00:27.12]  prend
[00:27.52] i
[00:27.59] énd
[00:27.90] ose
[00:28.13]  todos
[00:28.56]  los
[00:28.77]  inv
[00:29.01] ier
[00:29.24] nos
[00:29.47]  sin
[00:29.71]  un
[00:29.98]  solo
[00:30.35]  ar
[00:30.53] reg
[00:30.80] lo
[00:30.98]  serio
[00:31.74] .
[00:31.74]  No
[00:31.95]  tiene
[00:32.48]  gas
[00:32.80] ,
[00:33.06]  no
[00:33.22]  tiene
[00:33.75]  gar
[00:34.09] raf
[00:34.39] a
[00:34.74] ,
[00:34.78]  no
[00:34.93]  tiene
[00:35.42]  le
[00:35.61] ña
[00:35.90]  grues
[00:36.48] a
[00:36.70] ,
[00:36.74]  no
[00:36.90]  tiene
[00:37.40]  electric
[00:38.58] idad
[00:38.90] .
[00:38.90]  Fun
[00:39.24] cion
[00:39.80] a
[00:39.96]  con
[00:40.14]  cinco
[00:40.70]  ram
[00:41.04] itas
[00:41.83]  fin
[00:42.08] as
[00:42.10] .
[00:42.10]  Cin
[00:43.44] co
[00:43.48] .
[00:43.65]  De
[00:43.79]  esas
[00:44.07]  que
[00:44.28]  jun
[00:44.51] ta
[00:44.63]  cualquier
[00:45.27]  ch
[00:45.42] ico
[00:45.62]  en
[00:45.76]  el
[00:45.90]  jard
[00:46.18] ín
[00:46.39]  en
[00:46.53]  dos
[00:47.34]  minutos
[00:47.34] .
[00:47.34]  Del
[00:47.59]  pod
[00:47.84] ado
[00:48.11]  del
[00:48.34]  para
[00:48.68] í
[00:48.78] so
[00:49.32] .
[00:49.38]  Del
[00:49.63]  laure
[00:50.24] l
[00:50.56] .
[00:50.61]  De
[00:50.73]  las
[00:50.99]  que
[00:51.25]  ca
[00:51.41] en
[00:51.59]  sol
[00:51.90] as
[00:52.02]  del
[00:52.21]  fondo
[00:53.04] .
[00:53.10]  Con
[00:53.26]  cinco
[00:53.64]  ram
[00:53.86] itas
[00:54.17]  esa
[00:54.41]  est
[00:54.60] uf
[00:54.75] a
[00:54.82]  me
[00:54.97]  cal
[00:55.19] ient
[00:55.49] a
[00:55.58]  el
[00:55.71]  gal
[00:55.94] p
[00:56.00] ón
[00:56.25]  ent
[00:56.44] ero
[00:56.66]  durante
[00:57.19]  seis
[00:57.98]  horas
[00:58.00] .
[00:58.00]  Y
[00:58.09]  la
[00:58.32]  chim
[00:58.67] ene
[00:58.96] a
[00:59.05]  no
[00:59.24]  e
[00:59.33] cha
[00:59.62]  hum
[01:00.00] o
[01:00.49]  negro
[01:00.86] .
[01:00.86]  E
[01:00.93] cha
[01:01.14]  una
[01:01.35]  colum
[01:01.70] na
[01:01.84]  de
[01:01.98]  aire
[01:02.26]  transparent
[01:03.11] e
[01:03.30] ,
[01:03.36]  casi
[01:03.73]  invisible
[01:04.70] ,
[01:04.70]  porque
[01:05.08]  la
[01:05.20]  combust
[01:05.64] ión
[01:05.89]  es
[01:06.04]  tan
[01:06.20]  completa
[01:06.80]  que
[01:06.91]  lo
[01:07.02]  único
[01:07.38]  que
[01:07.54]  sale
[01:07.80]  es
[01:07.92]  vapor
[01:08.24]  de
[01:08.36]  agua
[01:08.64]  y
[01:08.74]  di
[01:08.94] ó
[01:09.13] x
[01:09.22] ido
[01:09.50]  de
[01:09.70]  carbono
[01:10.74] .
[01:10.74]  Esto
[01:11.20]  no
[01:11.45]  es
[01:11.66]  una
[01:12.00]  opin
[01:12.46] ión
[01:12.92]  m
[01:13.03] ía
[01:13.74] .
[01:13.74]  Es
[01:13.91]  un
[01:14.08]  dato
[01:14.42]  ver
[01:14.69] ific
[01:15.04] able
[01:15.39]  con
[01:15.65]  cualquier
[01:16.44]  med
[01:16.70] idor
[01:17.05]  de
[01:17.22]  gases
[01:17.98] .
[01:18.02]  Una
[01:18.19]  est
[01:18.40] uf
[01:18.54] a
[01:18.61]  de
[01:18.75]  este
[01:19.03]  tipo
[01:19.34] ,
[01:19.45]  bien
[01:19.73]  constru
[01:20.22] ida
[01:20.46] ,
[01:20.57]  qu
[01:20.71] ema
[01:20.92]  a
[01:20.99]  más
[01:21.27]  de
[01:21.41]  mil
[01:21.62]  grad
[01:21.90] os
[01:22.04]  cent
[01:22.32] í
[01:22.46] gr
[01:22.60] ados
[01:22.91]  en
[01:23.02]  la
[01:23.16]  cámara
[01:23.64]  inter
[01:24.26] na
[01:24.30] .
[01:24.30]  Y
[01:24.39]  a
[01:24.48]  esa
[01:24.75]  temperatura
[01:25.78]  no
[01:25.96]  queda
[01:26.40]  nada
[01:26.76]  sin
[01:27.03]  quem
[01:27.57] ar
[01:27.90] .
[01:27.90]  C
[01:28.13] ero
[01:28.81]  ho
[01:29.27] j
[01:29.48] ín
[01:30.20] .
[01:30.63]  C
[01:30.77] ero
[01:31.39]  al
[01:31.49] qu
[01:31.77] it
[01:32.05] r
[01:32.19] án
[01:33.10] .
[01:33.13]  C
[01:33.27] ero
[01:34.14]  cen
[01:34.32] iza
[01:34.84]  pes
[01:35.37] ada
[01:36.46] .
[01:36.46]  Es
[01:36.61]  la
[01:36.76]  combust
[01:37.28] ión
[01:37.57]  más
[01:37.86]  limp
[01:38.19] ia
[01:38.36]  que
[01:38.53]  puede
[01:38.88]  hacer
[01:39.25]  un
[01:39.40]  humano
[01:39.84]  con
[01:40.06]  un
[01:40.21]  fuego
[01:40.58]  ab
[01:41.18] ierto
[01:41.18] .
[01:41.18]  Y
[01:41.25]  la
[01:41.40]  idea
[01:41.71]  original
[01:42.33]  se
[01:42.48]  invent
[01:42.94] ó
[01:43.09]  hace
[01:43.40]  tres
[01:43.71]  mil
[01:43.94]  años
[01:44.32]  en
[01:44.48]  algún
[01:44.94]  lugar
[01:45.33]  de
[01:45.48]  Asia
[01:45.79]  Central
[01:46.33] .
[01:46.67]  Mi
[01:46.87]  nombre
[01:47.55]  no
[01:47.71]  importa
[01:48.76] .
[01:48.78]  L
[01:48.86] le
[01:49.00] vo
[01:49.21]  tre
[01:49.38] inta
[01:49.69]  y
[01:49.76]  dos
[01:49.99]  años
[01:50.38]  constru
[01:50.85] y
[01:51.38] endo
[01:51.38] .
[01:51.38]  Y
[01:51.47]  aprend
[01:52.01] í
[01:52.20]  esto
[01:52.58]  del
[01:52.82]  mismo
[01:53.27]  modo
[01:53.62]  que
[01:53.90]  aprend
[01:54.44] í
[01:54.62]  todo
[01:55.30] .
[01:55.30]  Mir
[01:55.54] ando
[01:55.86]  a
[01:55.94]  alguien
[01:56.50]  mayor
[01:56.90]  mientras
[01:57.53]  ha
[01:57.70] cía
[01:58.02]  algo
[01:58.32]  bien
[01:58.94] .
[01:58.94]  En
[01:59.18]  este
[01:59.67]  caso
[02:00.42] ,
[02:00.42]  mi
[02:00.77]  vie
[02:01.66] jo
[02:01.67] ,
[02:01.85]  en
[02:02.04]  el
[02:02.25]  gal
[02:02.51] p
[02:02.61] ón
[02:02.88]  del
[02:03.66]  fondo
[02:03.66] .
[02:03.66]  Un
[02:03.92]  s
[02:04.05] áb
[02:04.44] ado
[02:04.83]  a
[02:04.96]  la
[02:05.90]  tarde
[02:05.92] ,
[02:06.05]  con
[02:06.28]  las
[02:06.51]  manos
[02:06.90]  ll
[02:07.05] enas
[02:07.36]  de
[02:07.51]  bar
[02:07.93] ro
[02:07.94]  y
[02:08.03]  un
[02:08.21]  libro
[02:08.68]  ale
[02:08.93] m
[02:09.02] án
[02:09.29]  de
[02:09.47]  los
[02:09.74]  años
[02:10.19]  c
[02:10.30] inc
[02:10.54] u
[02:11.02] enta
[02:11.02] .
[02:11.04]  Ab
[02:11.19] ierto
[02:11.55]  en
[02:11.70]  una
[02:11.92]  página
[02:12.56]  que
[02:12.70]  él
[02:12.93]  había
[02:13.39]  trad
[02:13.70] uc
[02:13.85] ido
[02:14.08]  con
[02:14.31]  un
[02:14.46]  dic
[02:14.69] cion
[02:15.30] ario
[02:15.31]  porque
[02:15.77]  no
[02:15.92]  entend
[02:16.38] ía
[02:16.61]  ale
[02:16.83] m
[02:16.90] án
[02:17.29] ,
[02:17.43]  pero
[02:17.77]  entend
[02:18.30] ía
[02:18.53]  dibuj
[02:19.13] os
[02:19.41] .
[02:19.42]  El
[02:19.58]  libro
[02:19.98]  habl
[02:20.30] aba
[02:20.54]  de
[02:20.70]  una
[02:20.94]  cosa
[02:21.26]  que
[02:21.50]  en
[02:21.68]  cast
[02:21.98] ell
[02:22.22] ano
[02:22.46]  no
[02:22.62]  tenía
[02:23.15]  nombre
[02:23.59]  todavía
[02:24.34] .
[02:24.34]  Que
[02:24.58]  después
[02:25.31]  le
[02:25.38]  pus
[02:25.62] ieron
[02:26.06]  est
[02:26.25] uf
[02:26.43] a
[02:26.50]  coh
[02:26.74] ete
[02:26.99]  por
[02:27.22]  la
[02:27.38]  forma
[02:27.78]  en
[02:27.94]  que
[02:28.17]  ar
[02:28.34] de
[02:28.50]  el
[02:28.66]  fuego
[02:29.09]  ad
[02:29.22] ent
[02:29.62] ro
[02:29.86] ,
[02:29.88]  hacia
[02:30.34]  arriba
[02:31.22] .
[02:31.22]  Como
[02:31.62]  si
[02:31.74]  fuera
[02:32.24]  el
[02:32.35]  escape
[02:32.88]  de
[02:33.08]  un
[02:33.22]  motor
[02:33.98] .
[02:34.00]  La
[02:34.12]  efic
[02:34.41] iencia
[02:34.84]  tér
[02:35.13] m
[02:35.20] ica
[02:35.44]  de
[02:35.55]  este
[02:35.84]  sistema
[02:36.34]  está
[02:36.73]  medida
[02:37.13]  en
[02:37.27]  labor
[02:37.63] ator
[02:37.91] ios
[02:38.12]  de
[02:38.26]  la
[02:38.40]  Univers
[02:38.91] idad
[02:39.23]  de
[02:39.32]  A
[02:39.39] prove
[02:39.75] cho
[02:39.96] ,
[02:40.10]  en
[02:40.24]  O
[02:40.31] reg
[02:40.51] ón
[02:41.02] ,
[02:41.06]  desde
[02:41.56]  los
[02:41.88]  años
[02:42.42]  och
[02:42.74] enta
[02:43.53] .
[02:43.54]  A
[02:43.61] prove
[02:43.98] cha
[02:44.18]  entre
[02:44.54]  el
[02:44.68]  och
[02:44.92] enta
[02:45.19]  y
[02:45.24]  el
[02:45.38]  no
[02:45.52] vent
[02:45.80] a
[02:45.91]  por
[02:46.08]  ciento
[02:46.51]  del
[02:46.72]  calor
[02:47.08]  del
[02:47.29]  combust
[02:47.78] ible
[02:48.37] .
[02:48.38]  Una
[02:48.61]  sal
[02:48.84] am
[02:48.99] andra
[02:49.38]  a
[02:49.45]  le
[02:49.65] ña
[02:49.83]  común
[02:50.30]  aprove
[02:50.77] cha
[02:51.05]  el
[02:51.15]  tre
[02:51.41] inta
[02:51.69]  por
[02:51.92]  ciento
[02:52.67] .
[02:52.70]  Una
[02:52.99]  est
[02:53.27] uf
[02:53.47] a
[02:53.56]  a
[02:53.65]  gas
[02:53.94]  natural
[02:54.61]  aprove
[02:55.18] cha
[02:55.46]  el
[02:55.69]  ses
[02:55.90] enta
[02:56.64] .
[02:56.66]  El
[02:56.86]  resto
[02:57.37] ,
[02:57.77]  en
[02:57.82]  todos
[02:58.28]  los
[02:58.58]  casos
[02:59.09] ,
[02:59.29]  se
[02:59.69]  va
[02:59.70]  por
[03:00.08]  la
[03:00.19]  chim
[03:00.59] ene
[03:00.89] a
[03:00.99] ,
[03:01.18]  cal
[03:01.70] ent
[03:01.79] ando
[03:02.19]  el
[03:02.39]  cielo
[03:02.90]  que
[03:03.40]  no
[03:03.63]  necesita
[03:04.21]  c
[03:04.31] ale
[03:04.61] f
[03:04.71] acción
[03:05.42] .
[03:05.86]  Voy
[03:06.13]  a
[03:06.22]  most
[03:06.58] r
[03:06.68] arte
[03:07.09]  cómo
[03:07.51]  se
[03:07.69]  constru
[03:08.33] ye
[03:08.51]  esta
[03:08.85]  est
[03:09.14] uf
[03:09.42] a
[03:09.66] ,
[03:09.73]  paso
[03:10.25]  a
[03:10.40]  paso
[03:11.30] ,
[03:11.32]  con
[03:11.57]  la
[03:11.75]  tierra
[03:12.28]  de
[03:12.47]  tu
[03:12.64]  propio
[03:13.44]  ter
[03:13.80] reno
[03:13.82] .
[03:13.82]  Sin
[03:14.08]  comprar
[03:14.72]  lad
[03:14.95] r
[03:15.04] illo
[03:15.38]  refract
[03:15.99] ario
[03:16.54] ,
[03:16.54]  sin
[03:16.86]  comprar
[03:17.61]  chap
[03:18.25] ac
[03:18.56] ara
[03:18.57] ,
[03:18.78]  sin
[03:19.10]  contrat
[03:19.85] ar
[03:20.05]  a
[03:20.70]  nadie
[03:21.09] .
[03:21.10]  Te
[03:21.27]  va
[03:21.44]  a
[03:21.52]  cost
[03:21.87] ar
[03:22.04]  menos
[03:22.48]  que
[03:22.74]  una
[03:23.00]  sola
[03:23.35]  carga
[03:23.78]  de
[03:23.94]  gar
[03:24.21] raf
[03:24.48] a
[03:24.92] .
[03:24.94]  Te
[03:25.09]  va
[03:25.24]  a
[03:25.31]  dur
[03:25.54] ar
[03:25.69]  más
[03:26.00]  que
[03:26.23]  la
[03:26.38]  casa
[03:26.69]  donde
[03:27.11]  la
[03:27.22]  pong
[03:27.53] as
[03:27.94] .
[03:27.98]  Y
[03:28.05]  después
[03:28.63]  te
[03:28.77]  voy
[03:28.98]  a
[03:29.09]  contar
[03:29.48]  la
[03:29.65]  parte
[03:29.99]  que
[03:30.19]  las
[03:30.42]  empresas
[03:30.98]  de
[03:31.12]  gas
[03:31.42]  y
[03:31.49]  las
[03:31.70]  empresas
[03:32.26]  de
[03:32.39]  gar
[03:32.61] raf
[03:32.83] a
[03:32.90]  de
[03:33.11]  este
[03:33.54]  país
[03:34.10]  no
[03:34.33]  quieren
[03:34.97]  que
[03:35.23]  escuch
[03:36.02] es
[03:36.06] .
[03:36.06]  Que
[03:36.28]  es
[03:36.42]  que
[03:36.64]  el
[03:36.78]  cost
[03:37.10] o
[03:37.14]  total
[03:37.50]  de
[03:37.67]  c
[03:37.71] ale
[03:37.92] f
[03:37.99] acc
[03:38.22] ionar
[03:38.55]  una
[03:38.78]  viv
[03:39.00] ienda
[03:39.36]  media
[03:39.72]  en
[03:39.86]  inv
[03:40.52] ierno
[03:40.54] ,
[03:40.70]  compar
[03:41.22] ado
[03:41.45]  entre
[03:41.86]  los
[03:42.14]  tres
[03:42.45]  sistemas
[03:43.14] ,
[03:43.14]  es
[03:43.29]  de
[03:43.44]  aproximadamente
[03:44.49]  och
[03:44.70] o
[03:44.77] cient
[03:45.12] os
[03:45.26]  mil
[03:45.47]  pesos
[03:45.83]  por
[03:46.04]  temporada
[03:46.68]  con
[03:46.89]  gas
[03:47.10]  natural
[03:47.78] ,
[03:47.82]  un
[03:48.00]  mill
[03:48.37] ón
[03:48.64]  y
[03:48.74]  medio
[03:49.19]  con
[03:49.46]  gar
[03:50.00] raf
[03:50.11] a
[03:50.14]  y
[03:50.22]  c
[03:50.30] ero
[03:50.62]  pesos
[03:50.98]  con
[03:51.24]  esto
[03:51.61]  que
[03:51.84]  te
[03:52.01]  estoy
[03:52.44]  most
[03:53.24] rando
[03:53.26] .
[03:53.30]  C
[03:53.44] ero
[03:54.27] .
[03:54.30]  Porque
[03:54.72]  las
[03:54.93]  ram
[03:55.14] itas
[03:55.42]  las
[03:55.63]  jun
[03:55.87] ta
[03:56.00]  tu
[03:56.12]  hijo
[03:56.40]  en
[03:56.54]  el
[03:56.68]  patio
[03:57.03]  mientras
[03:57.58]  jue
[03:57.72] ga
[03:58.16] .
[03:58.18]  Qu
[03:58.35] éd
[03:58.63] ate
[03:58.85]  con
[03:59.09] m
[03:59.18] igo
[03:59.73] .
[03:59.74]  Para
[04:00.03]  el
[04:00.16]  final
[04:00.51]  del
[04:00.72]  video
[04:01.07]  vas
[04:01.28]  a
[04:01.35]  saber
[04:01.70]  cómo
[04:02.14]  tener
[04:02.40]  esta
[04:02.68]  est
[04:02.89] uf
[04:03.03] a
[04:03.10]  funcion
[04:03.59] ando
[04:03.87]  antes
[04:04.22]  del
[04:04.43]  inv
[04:04.64] ierno
[04:04.99]  que
[04:05.58]  viene
[04:05.59] .
[04:05.62]  Con
[04:05.95]  la
[04:06.02]  tierra
[04:06.50]  que
[04:06.77]  ya
[04:06.90]  ten
[04:07.14] és
[04:07.38]  deb
[04:07.62] ajo
[04:07.86]  de
[04:08.09]  los
[04:08.25]  pies
[04:08.74] ,
[04:08.78]  emp
[04:09.06] ie
[04:09.24] zo
[04:09.42]  con
[04:09.70]  el
[04:09.88]  error
[04:10.34]  más
[04:11.27]  grande
[04:11.30] .
[04:11.30]  El
[04:11.53]  que
[04:11.70]  ar
[04:11.86] ru
[04:12.02] ina
[04:12.26]  cualquier
[04:13.03]  intent
[04:13.48] o
[04:13.58]  de
[04:13.72]  c
[04:13.80] ale
[04:14.04] f
[04:14.12] acción
[04:14.69]  a
[04:14.77]  le
[04:14.93] ña
[04:15.17]  en
[04:15.33]  una
[04:15.57]  casa
[04:15.88]  argent
[04:16.38] ina
[04:16.91] .
[04:16.94]  La
[04:17.11]  gente
[04:17.58]  pi
[04:17.70] ensa
[04:18.04]  que
[04:18.29]  el
[04:18.49]  calor
[04:18.88]  de
[04:19.05]  una
[04:19.30]  est
[04:19.56] uf
[04:19.80] a
[04:19.80]  viene
[04:20.22]  del
[04:20.47]  tama
[04:20.81] ño
[04:21.06]  del
[04:21.31]  fuego
[04:22.02] .
[04:22.06]  H
[04:22.15] aces
[04:22.53]  un
[04:22.72]  fuego
[04:23.19]  grande
[04:23.83] ,
[04:23.97]  cal
[04:24.28] ient
[04:24.64] a
[04:24.73]  mucho
[04:25.46] ,
[04:25.51]  fuego
[04:25.99]  ch
[04:26.19] ico
[04:26.73] ,
[04:26.76]  cal
[04:27.05] ient
[04:27.53] a
[04:27.58]  poco
[04:28.26] ,
[04:28.26]  eso
[04:28.56]  es
[04:28.76]  lo
[04:28.96]  que
[04:29.26]  parece
[04:30.22] .
[04:30.22]  Y
[04:30.30]  por
[04:30.54]  eso
[04:30.78] ,
[04:30.86]  la
[04:31.22]  gente
[04:31.53]  compra
[04:32.01]  sal
[04:32.24] am
[04:32.40] and
[04:32.64] ras
[04:32.88]  enorm
[04:33.28] es
[04:33.69] ,
[04:33.70]  las
[04:33.97]  ll
[04:34.15] ena
[04:34.42]  de
[04:34.60]  le
[04:34.78] ña
[04:35.04]  grues
[04:35.51] a
[04:35.75] ,
[04:35.82]  las
[04:36.20]  prend
[04:36.71] e
[04:36.82]  fuerte
[04:37.50] ,
[04:37.50]  y
[04:37.58]  se
[04:37.74]  dece
[04:38.09] p
[04:38.13] cion
[04:38.44] a
[04:38.56]  cuando
[04:38.98]  ven
[04:39.24]  que
[04:39.50]  el
[04:39.62]  gal
[04:39.86] p
[04:39.93] ón
[04:40.16]  sigue
[04:40.79]  hel
[04:40.80] ado
[04:41.02]  y
[04:41.12]  la
[04:41.26]  gar
[04:41.50] raf
[04:41.73] a
[04:41.80]  se
[04:41.96]  sigue
[04:42.35]  gast
[04:42.63] ando
[04:43.32] .
[04:43.34]  El
[04:43.58]  calor
[04:44.04]  de
[04:44.30]  un
[04:44.44]  fuego
[04:44.94]  no
[04:45.14]  viene
[04:45.64]  del
[04:45.94]  tama
[04:46.34] ño
[04:46.85] ,
[04:46.86]  viene
[04:47.35]  de
[04:47.54]  dos
[04:47.83]  cosas
[04:48.32]  que
[04:48.61]  casi
[04:49.00]  nadie
[04:49.48]  ent
[04:50.28] iende
[04:50.30] .
[04:50.30]  La
[04:50.46]  temperatura
[04:51.29]  de
[04:51.44]  combust
[04:52.01] ión
[04:52.27]  y
[04:52.39]  el
[04:52.49]  tiempo
[04:52.95]  de
[04:53.10]  re
[04:53.25] ten
[04:53.47] ción
[04:53.85]  del
[04:54.08]  calor
[04:54.46]  en
[04:54.76]  la
[04:55.12]  masa
[04:55.14] .
[04:55.14]  Y
[04:55.22]  la
[04:55.37]  est
[04:55.62] uf
[04:55.78] a
[04:55.86]  rocket
[04:56.35]  le
[04:56.51]  g
[04:56.59] ana
[04:56.83]  a
[04:56.94]  todas
[04:57.31]  las
[04:57.55]  demás
[04:58.04]  en
[04:58.20]  las
[04:58.44]  dos
[04:58.68]  al
[04:58.83]  mismo
[04:59.23]  tiempo
[04:59.93] ,
[04:59.98]  no
[05:00.19]  en
[05:00.40]  una
[05:00.72]  sola
[05:01.50] .
[05:01.50]  Te
[05:01.64]  expl
[05:01.93] ico
[05:02.15]  la
[05:02.32]  temperatura
[05:03.16]  de
[05:03.25]  combust
[05:03.77] ión
[05:04.04]  primero
[05:04.85] .
[05:04.86]  Cuando
[05:05.28]  vos
[05:05.53]  prend
[05:05.84] es
[05:05.98]  una
[05:06.19]  sal
[05:06.40] am
[05:06.54] andra
[05:06.89]  común
[05:07.50] ,
[05:07.51]  la
[05:07.69]  le
[05:07.88] ña
[05:08.16]  ar
[05:08.35] de
[05:08.54]  a
[05:08.63]  más
[05:09.01]  o
[05:09.10]  menos
[05:09.58]  500
[05:10.44]  grad
[05:11.05] os
[05:11.06] ,
[05:11.06]  que
[05:11.28]  parece
[05:11.72]  mucho
[05:12.08]  pero
[05:12.37]  no
[05:12.51]  es
[05:12.65]  suficiente
[05:13.42]  para
[05:13.68]  quem
[05:13.96] ar
[05:14.11]  todos
[05:14.46]  los
[05:14.68]  gases
[05:15.04]  que
[05:15.26]  sal
[05:15.48] en
[05:15.62]  de
[05:15.76]  la
[05:15.90]  mad
[05:16.34] era
[05:16.62] .
[05:16.66]  La
[05:16.85]  mad
[05:17.13] era
[05:17.41]  al
[05:17.60]  quem
[05:17.98] arse
[05:18.36]  no
[05:18.55]  es
[05:18.73]  simple
[05:19.58] .
[05:19.62]  Su
[05:19.84] el
[05:20.06] ta
[05:20.28]  gases
[05:20.83]  pes
[05:21.16] ados
[05:21.77] ,
[05:21.82]  al
[05:22.04] qu
[05:22.26] it
[05:22.48] r
[05:22.55] anes
[05:23.30] ,
[05:23.30]  vap
[05:23.59] ores
[05:23.77]  que
[05:23.97]  ar
[05:24.10] den
[05:24.30]  a
[05:24.38]  temper
[05:24.79] at
[05:24.91] uras
[05:25.18]  más
[05:25.45]  alt
[05:25.65] as
[05:25.83]  que
[05:25.98]  la
[05:26.22]  mad
[05:26.58] era
[05:26.94]  misma
[05:27.93] .
[05:27.94]  En
[05:28.11]  una
[05:28.36]  sal
[05:28.61] am
[05:28.78] andra
[05:29.21]  común
[05:29.72] ,
[05:29.89]  esos
[05:30.23]  gases
[05:30.66]  sal
[05:30.91] en
[05:31.08]  sin
[05:31.33]  quem
[05:31.61] arse
[05:32.25] ,
[05:32.26]  sub
[05:32.61] en
[05:32.84]  por
[05:33.19]  la
[05:33.42]  chim
[05:34.24] ene
[05:34.37] a
[05:34.38] ,
[05:34.38]  y
[05:34.45]  se
[05:34.65]  cond
[05:34.87] ens
[05:35.08] an
[05:35.22]  en
[05:35.36]  las
[05:35.57]  p
[05:35.64] ared
[05:35.92] es
[05:36.09]  del
[05:36.27]  ca
[05:36.47] ño
[05:36.62]  como
[05:36.90]  una
[05:37.11]  pasta
[05:37.46]  mar
[05:37.67] r
[05:38.02] ón
[05:38.02]  y
[05:38.16]  neg
[05:38.90] ra
[05:38.91]  que
[05:39.26]  se
[05:39.50]  llama
[05:40.10]  cre
[05:40.49] os
[05:40.70] ota
[05:41.43] .
[05:41.46]  La
[05:41.67]  cre
[05:41.86] os
[05:42.02] ota
[05:42.25]  es
[05:42.58]  lo
[05:42.63]  que
[05:42.82]  hace
[05:43.14]  que
[05:43.38]  las
[05:43.62]  chim
[05:43.94] ene
[05:44.23] as
[05:44.34]  se
[05:44.50]  prend
[05:44.91] an
[05:45.07]  fuego
[05:45.70] ,
[05:45.74]  lo
[05:45.97]  que
[05:46.32]  hace
[05:46.79]  que
[05:47.14]  el
[05:47.37]  hum
[05:47.83] o
[05:47.86]  sea
[05:48.18]  negro
[05:48.87]  y
[05:49.10]  hu
[05:49.17] ela
[05:49.45]  mal
[05:49.86] ,
[05:49.86]  y
[05:49.86]  lo
[05:49.86]  que
[05:49.86]  hace
[05:49.91]  que
[05:50.02]  la
[05:50.19]  mitad
[05:50.62]  de
[05:50.75]  la
[05:50.88]  energía
[05:51.42]  de
[05:51.63]  la
[05:51.84]  le
[05:52.37] ña
[05:52.38]  se
[05:52.59]  vaya
[05:53.01]  literal
[05:53.75] mente
[05:54.27]  por
[05:54.57]  el
[05:55.00]  te
[05:55.00] cho
[05:55.64] .
[05:55.66]  En
[05:55.83]  una
[05:56.08]  rocket
[05:56.76] ,
[05:56.87]  esos
[05:57.10]  mismos
[05:57.61]  gases
[05:58.04]  pas
[05:58.29] an
[05:58.46]  por
[05:58.71]  una
[05:58.96]  cámara
[05:59.56]  inter
[06:00.20] na
[06:00.22] ,
[06:00.40]  donde
[06:00.88]  la
[06:01.14]  temperatura
[06:02.08]  es
[06:02.26]  el
[06:02.62]  do
[06:02.62] ble
[06:03.14] ,
[06:03.14]  1
[06:03.42] ,
[06:03.60] 100
[06:04.85]  grad
[06:04.95] os
[06:05.04] ,
[06:05.23]  1
[06:05.51] ,
[06:05.70] 200
[06:06.56]  grad
[06:06.94] os
[06:07.13]  a
[06:07.70]  veces
[06:07.91] ,
[06:07.94]  y
[06:08.03]  ahí
[06:08.39]  termin
[06:08.93] an
[06:09.11]  de
[06:09.29]  quem
[06:09.65] arse
[06:10.02]  completamente
[06:11.47] .
[06:11.50]  Por
[06:11.76]  eso
[06:12.04] ,
[06:12.19]  de
[06:12.36]  la
[06:12.53]  chim
[06:12.88] ene
[06:13.14] a
[06:13.22]  de
[06:13.39]  una
[06:13.65]  rocket
[06:14.31]  bien
[06:14.53]  he
