[00:00.08] En
[00:53.08] ados
[00:53.38]  y
[00:53.45]  temperatura
[00:54.25]  manten
[00:55.00] ida
[00:55.07]  que
[00:55.17]  la
[00:55.28]  mayoría
[00:55.74]  de
[00:55.85]  las
[00:56.02]  viv
[00:56.19] iend
[00:56.45] as
[00:56.53]  modern
[00:56.87] as
[00:57.07]  con
[00:57.15]  a
[00:57.20] isl
[00:57.36] ación
[00:57.71]  sint
[00:57.94] ética
[00:58.28] ,
[00:58.39]  do
[00:58.50] ble
[00:58.67]  vid
[00:58.84] rio
[00:59.01]  y
[00:59.20]  c
[00:59.24] ale
[00:59.39] f
[00:59.43] acción
[00:59.80]  central
[01:00.69] .
[01:00.80]  Hoy
[01:01.00]  te
[01:01.13]  voy
[01:01.37]  a
[01:01.39]  explicar
[01:01.92]  qué
[01:02.18]  saben
[01:02.55]  los
[01:02.71]  m
[01:02.77] ong
[01:02.97] oles
[01:03.23]  sobre
[01:03.56]  el
[01:03.69]  calor
[01:04.02]  que
[01:04.22]  nosotros
[01:04.75]  olvid
[01:05.07] amos
[01:05.47] ,
[01:05.53]  y
[01:05.70]  cómo
[01:05.96]  aplic
[01:06.29] ar
[01:06.42]  esos
[01:06.73]  princip
[01:07.15] ios
[01:07.33]  en
[01:07.50]  cualquier
[01:08.05]  habit
[01:08.38] ación
[01:08.81] ,
[01:08.90]  en
[01:09.04]  cualquier
[01:09.62]  casa
[01:09.88] ,
[01:10.01]  en
[01:10.16]  cualquier
[01:10.73]  cl
[01:10.86] ima
[01:11.05]  donde
[01:11.44]  el
[01:11.61]  fr
[01:11.78] ío
[01:12.04]  sea
[01:12.30]  un
[01:12.47]  problema
[01:13.33] ,
[01:13.59]  sin
[01:13.64]  inst
[01:13.93] alar
[01:14.27]  nada
[01:14.61] ,
[01:14.78]  sin
[01:15.29]  gast
[01:15.38] ar
[01:15.55]  lo
[01:15.77]  que
[01:15.98]  no
[01:16.15]  ten
[01:16.41] és
[01:16.67] ,
[01:17.10]  sin
[01:17.25]  dep
[01:17.36] ender
[01:17.88]  de
[01:18.03]  que
[01:18.26]  la
[01:18.41]  electric
[01:19.03] idad
[01:19.34]  esté
[01:19.73]  dispon
[01:20.41] ible
[01:20.50]  o
[01:20.57]  de
[01:20.72]  que
[01:20.95]  el
[01:21.10]  gas
[01:21.33]  no
[01:21.48]  sub
[01:21.71] a
[01:21.78]  de
[01:21.92]  precio
[01:22.40]  este
[01:22.70]  inv
[01:22.93] ierno
[01:23.68] .
[01:23.75]  Pero
[01:23.94]  antes
[01:24.27]  del
[01:24.46]  mét
[01:24.72] odo
[01:24.90] ,
[01:25.28]  neces
[01:25.37] ito
[01:25.56]  que
[01:25.76]  ent
[01:25.94] iend
[01:26.20] as
[01:26.33]  algo
[01:26.59]  fundamental
[01:27.31]  que
[01:27.50]  camb
[01:27.81] ia
[01:27.89]  la
[01:28.02]  manera
[01:28.41]  en
[01:28.54]  que
[01:28.84]  vas
[01:29.11]  a
[01:29.20]  ver
[01:29.47]  el
[01:29.77]  fr
[01:29.83] ío
[01:30.10]  de
[01:30.28]  ahora
[01:30.73]  en
[01:30.91]  adelante
[01:31.86] .
[01:31.92]  El
[01:32.12]  fr
[01:32.32] ío
[01:32.64]  no
[01:32.80]  entra
[01:33.32]  a
[01:33.40]  tu
[01:33.99]  casa
[01:34.17] ,
[01:34.19]  el
[01:34.39]  calor
[01:34.87]  sale
[01:35.45] .
[01:35.62]  Esta
[01:35.94]  dist
[01:36.16] in
[01:36.29] ción
[01:36.63]  parece
[01:37.04]  menor
[01:37.50] ,
[01:37.51]  pero
[01:37.78]  es
[01:37.91]  absolutamente
[01:38.81]  central
[01:39.29]  para
[01:39.55]  entender
[01:40.11]  por
[01:40.49]  qué
[01:40.58]  la
[01:40.71]  mayoría
[01:41.38]  de
[01:41.53]  las
[01:41.75]  sol
[01:41.97] uciones
[01:42.49]  modern
[01:42.94] as
[01:43.09]  al
[01:43.24]  fr
[01:43.39] ío
[01:43.76]  son
[01:43.85]  ine
[01:44.05] fic
[01:44.27] ientes
[01:44.72]  y
[01:44.79]  por
[01:45.29]  qué
[01:45.31]  la
[01:45.46]  solu
[01:45.76] ción
[01:46.13]  m
[01:46.20] ong
[01:46.42] ola
[01:46.64]  funciona
[01:47.36]  mejor
[01:47.96]  con
[01:48.30]  menos
[01:48.85]  recursos
[01:50.12] .
[01:50.16]  Cuando
[01:50.51]  sent
[01:50.77] ís
[01:51.00]  fr
[01:51.09] ío
[01:51.28]  en
[01:51.41]  una
[01:51.60]  habit
[01:51.93] ación
[01:52.45] ,
[01:52.56]  la
[01:52.58]  sens
[01:52.84] ación
[01:53.23]  no
[01:53.36]  viene
[01:53.69]  de
[01:53.82]  aire
[01:54.08]  fr
[01:54.26] ío
[01:54.40]  ent
[01:54.58] rando
[01:55.04]  desde
[01:55.53]  af
[01:55.67] u
[01:55.74] era
[01:56.32] .
[01:56.32]  V
[01:56.39] iene
[01:56.67]  del
[01:56.88]  calor
[01:57.24]  de
[01:57.39]  tu
[01:57.52]  cuerpo
[01:57.95]  es
[01:58.14] cap
[01:58.30] ánd
[01:58.58] ose
[01:58.78]  hacia
[01:59.15]  las
[01:59.36]  superfic
[02:00.03] ies
[02:00.14]  fr
[02:00.28] ías
[02:00.63]  que
[02:00.77]  te
[02:00.91]  rode
[02:01.19] an
[02:01.68] .
[02:01.68]  Tu
[02:01.87]  cuerpo
[02:02.36]  gener
[02:02.79] a
[02:02.87]  calor
[02:03.30]  de
[02:03.47]  manera
[02:03.98]  constante
[02:05.04] .
[02:05.04]  E
[02:05.12] se
[02:05.29]  calor
[02:05.70]  via
[02:05.95] ja
[02:06.13]  en
[02:06.27]  tres
[02:06.60]  dire
[02:06.93] cciones
[02:07.51]  simult
[02:08.01] á
[02:08.17] ne
[02:08.33] amente
[02:09.16] .
[02:09.16]  Por
[02:09.45]  conduc
[02:09.79] ción
[02:10.14] ,
[02:10.34]  hacia
[02:10.68]  cualquier
[02:11.31]  superfic
[02:11.82] ie
[02:11.96]  fr
[02:12.16] ía
[02:12.41]  que
[02:12.52]  to
[02:12.66] que
[02:12.92]  tu
[02:13.01]  piel
[02:13.56] .
[02:13.56]  Por
[02:13.84]  conve
[02:14.14] cción
[02:14.72] ,
[02:14.86]  hacia
[02:15.08]  el
[02:15.22]  aire
[02:15.51]  que
[02:15.74]  te
[02:15.87]  rode
[02:16.16] a
[02:16.23]  y
[02:16.30]  que
[02:16.52]  lleva
[02:16.92]  el
[02:17.02]  calor
[02:17.38]  consigo
[02:17.89]  cuando
[02:18.33]  se
[02:18.46]  mue
[02:18.83] ve
[02:19.16] .
[02:19.22]  Por
[02:19.40]  radi
[02:19.73] ación
[02:20.22] ,
[02:20.38]  hacia
[02:20.79]  las
[02:21.02]  p
[02:21.11] ared
[02:21.60] es
[02:21.72] ,
[02:21.76]  el
[02:21.96]  te
[02:22.08] cho
[02:22.32]  y
[02:22.40]  el
[02:22.56]  p
[02:22.70] iso
[02:22.89]  fr
[02:23.07] í
[02:23.20] os
[02:23.35]  que
[02:23.86]  absor
[02:24.06] ben
[02:24.25]  tu
[02:24.41]  calor
[02:24.82]  inf
[02:25.09] rar
[02:25.30] ro
[02:25.50] jo
[02:25.80]  sin
[02:26.05]  que
[02:26.30]  los
[02:26.55]  est
[02:26.86] és
[02:27.05]  to
[02:27.21] cando
[02:27.94] .
[02:27.94]  El
[02:28.12]  fr
[02:28.30] ío
[02:28.57]  que
[02:28.85]  sent
[02:29.20] ís
[02:29.47]  no
[02:29.65]  es
[02:29.83]  una
[02:30.10]  pres
[02:30.91] encia
[02:30.95] ,
[02:31.09]  es
[02:31.27]  una
[02:31.54]  aus
[02:31.81] encia
[02:32.52] .
[02:32.58]  La
[02:32.74]  aus
[02:32.98] encia
[02:33.40]  del
[02:33.62]  calor
[02:34.05]  que
[02:34.29]  tu
[02:34.42]  cuerpo
[02:35.05]  per
[02:35.14] di
[02:35.30] ó
[02:35.46]  hacia
[02:35.85]  el
[02:36.02]  ent
[02:36.26] orno
[02:36.72] .
[02:36.88]  Cuando
[02:37.32]  entend
[02:37.76] és
[02:38.05]  eso
[02:38.20] ,
[02:38.34]  la
[02:38.51]  estr
[02:38.92] ateg
[02:39.06] ia
[02:39.20]  camb
[02:39.49] ia
[02:39.64]  completamente
[02:40.88] .
[02:40.88]  No
[02:41.01]  se
[02:41.14]  trata
[02:41.48]  de
[02:41.61]  gener
[02:41.95] ar
[02:42.08]  más
[02:42.35]  calor
[02:42.69]  para
[02:42.96]  re
[02:43.09] empl
[02:43.36] azar
[02:43.69]  el
[02:43.80]  que
[02:43.95]  perd
[02:44.43] és
[02:44.56] ,
[02:44.57]  se
[02:44.69]  trata
[02:45.04]  de
[02:45.16]  r
[02:45.22] al
[02:45.35] ent
[02:45.55] izar
[02:45.82]  la
[02:46.08]  p
[02:46.20] ér
[02:46.44] d
[02:46.52] ida
[02:47.03] .
[02:47.08]  Y
[02:47.14]  los
[02:47.34]  m
[02:47.40] ong
[02:47.60] oles
[02:47.87] ,
[02:47.99]  después
[02:48.60]  de
[02:48.67]  dos
[02:48.87]  mil
[02:49.07]  años
[02:49.41]  per
[02:49.61] fe
[02:49.74] cc
[02:49.87] ion
[02:50.07] ando
[02:50.34]  este
[02:50.64]  problema
[02:51.28]  en
[02:51.40]  uno
[02:51.48]  de
[02:51.61]  los
[02:51.96]  clim
[02:52.30] as
[02:52.47]  más
[02:52.81]  extrem
[02:53.32] os
[02:53.49]  del
[02:53.77]  planeta
[02:54.51] ,
[02:54.52]  lleg
[02:54.85] aron
[02:55.19]  a
[02:55.27]  una
[02:55.50]  solu
[02:56.13] ción
[02:56.28]  que
[02:56.53]  hace
[02:56.97]  exactamente
[02:58.16]  eso
[02:58.20]  con
[02:58.28]  una
[02:58.51]  efic
[02:58.83] iencia
[02:59.28]  que
[02:59.52]  todavía
[03:00.14]  sor
[03:00.37] pre
[03:00.60] nde
[03:00.83]  a
[03:00.90]  los
[03:01.13]  ingen
[03:01.52] ier
[03:01.74] os
[03:01.90]  modern
[03:02.52] os
[03:02.84] .
[03:02.84]  Antes
[03:03.23]  de
[03:03.31]  explic
[03:03.75] arte
[03:04.01]  cómo
[03:04.33] ,
[03:04.46]  quiero
[03:04.90]  cont
[03:05.14] arte
[03:05.41]  de
[03:05.63]  dónde
[03:05.95]  viene
[03:06.29]  mi
[03:06.42]  entend
[03:06.83] imiento
[03:07.31]  real
[03:07.58]  de
[03:07.80]  esto
[03:08.82] .
[03:08.92]  No
[03:09.17]  de
[03:09.34]  un
[03:09.55]  libro
[03:10.29] .
[03:10.44]  No
[03:10.74]  de
[03:10.92]  un
[03:11.16]  video
[03:12.10] .
[03:12.16]  De
[03:12.33]  un
[03:12.50]  inv
[03:12.75] ierno
[03:13.18]  que
[03:13.43]  no
[03:13.60]  olv
[03:13.85] ide
[03:14.10]  nunca
[03:14.84] .
[03:14.84]  Yo
[03:15.03]  tenía
[03:15.37]  ve
[03:15.50] int
[03:15.72] id
[03:15.83] ós
[03:16.03]  años
[03:16.36]  y
[03:16.43]  estaba
[03:16.83]  viv
[03:17.03] iendo
[03:17.37]  solo
[03:17.64]  por
[03:17.84]  primera
[03:18.31]  vez
[03:18.51]  en
[03:18.64]  un
[03:18.77]  depart
[03:19.23] amento
[03:19.68]  que
[03:19.84]  era
[03:20.08] ,
[03:20.39]  sin
[03:20.48]  ex
[03:20.64] ager
[03:20.96] ación
[03:21.44] ,
[03:21.76]  el
[03:21.91]  lugar
[03:22.16]  más
[03:22.48]  fr
[03:22.68] ío
[03:22.88]  en
[03:23.04]  el
[03:23.23]  que
[03:23.44]  había
[03:23.97]  habit
[03:24.32] ado
[03:24.56]  en
[03:24.72]  mi
[03:24.88]  vida
[03:25.46] .
[03:25.48]  Pl
[03:25.63] anta
[03:25.94]  baja
[03:26.25] ,
[03:26.48]  p
[03:26.71] iso
[03:26.85]  de
[03:26.86]  cer
[03:27.09] ám
[03:27.32] ica
[03:27.55] ,
[03:27.70]  vent
[03:28.00] anas
[03:28.44]  simples
[03:28.87]  con
[03:29.10]  mar
[03:29.33] co
[03:29.48]  de
[03:29.67]  alumin
[03:30.10] io
[03:30.25]  que
[03:30.48]  sud
[03:30.73] aban
[03:31.20]  por
[03:31.32]  ad
[03:31.43] ent
[03:31.60] ro
[03:31.72]  cuando
[03:32.10]  baj
[03:32.34] aba
[03:32.48]  la
[03:32.60]  temperatura
[03:33.29] ,
[03:33.48]  y
[03:33.67]  una
[03:33.67]  c
[03:33.92] ale
[03:33.93] f
[03:33.98] acción
[03:34.42]  a
[03:34.48]  gas
[03:34.67]  que
[03:34.86]  consum
[03:35.24] ía
[03:35.43]  una
[03:35.61]  cantidad
[03:36.14]  de
[03:36.25]  dinero
[03:36.72]  que
[03:36.94]  yo
[03:37.09]  no
[03:37.26]  tenía
[03:37.75]  y
[03:37.86]  que
[03:38.01]  de
[03:38.12]  todas
[03:38.50]  man
[03:38.71] eras
[03:39.15]  no
[03:39.22]  log
[03:39.37] ra
[03:39.51] ba
[03:39.65]  cal
[03:39.87] entar
[03:40.24]  el
[03:40.39]  ambiente
[03:40.98]  de
[03:41.13]  manera
[03:41.57]  uniform
[03:42.09] e
[03:42.48] .
[03:42.48]  El
[03:42.63]  dorm
[03:42.94] itor
[03:43.26] io
[03:43.40]  era
[03:43.66]  un
[03:43.78]  problema
[03:44.40]  especial
[03:45.28] .
[03:45.28]  D
[03:45.34] aba
[03:45.54]  al
[03:45.67]  norte
[03:45.99] ,
[03:46.27]  no
[03:46.39]  recib
[03:46.61] ía
[03:46.80]  sol
[03:47.01]  en
[03:47.16]  ningún
[03:47.62]  momento
[03:48.10]  del
[03:48.30]  día
[03:48.57]  y
[03:48.63]  tenía
[03:49.04]  una
[03:49.24]  p
[03:49.30] ared
[03:49.57]  exterior
[03:50.28]  que
[03:50.48]  en
[03:50.63]  las
[03:50.84]  noch
[03:51.12] es
[03:51.32]  más
[03:51.54]  fr
[03:51.68] ías
[03:51.96]  estaba
[03:52.39]  literal
[03:52.89] mente
[03:53.28]  hel
[03:53.53] ada
[03:53.81]  al
[03:54.09]  tact
[03:54.09] o
[03:54.47] .
[03:54.48]  Yo
[03:54.62]  dorm
[03:54.98] ía
[03:55.12]  con
[03:55.33]  tres
[03:55.62]  fra
[03:55.83] z
[03:55.89] adas
[03:56.33] ,
[03:56.45]  me
[03:56.47]  desper
[03:56.93] t
[03:56.97] aba
[03:57.18]  igual
[03:57.54]  con
[03:57.75]  fr
[03:57.89] ío
[03:58.17]  y
[03:58.31]  la
[03:58.45]  fact
[03:58.60] ura
[03:58.88]  de
[03:58.95]  gas
[03:59.16]  ese
[03:59.37]  inv
[03:59.58] ierno
[04:00.12]  me
[04:00.25]  dej
[04:00.47] ó
[04:00.61]  prá
[04:00.90] cticamente
[04:01.62]  sin
[04:01.83]  mar
[04:02.10] gen
[04:02.25]  para
[04:02.54]  nada
[04:02.82]  más
[04:03.33] .
[04:03.40]  Un
[04:03.58]  fin
[04:03.85]  de
[04:04.03]  semana
[04:04.58]  vino
[04:05.04]  a
[04:05.06]  visit
[04:05.50] arme
[04:05.87]  mi
[04:06.05]  t
[04:06.14] ío
[04:06.41]  Gust
[04:06.70] avo
[04:07.30] .
[04:07.40]  Mi
[04:07.55]  t
[04:07.62] ío
[04:07.84]  Gust
[04:08.14] avo
[04:08.41]  es
[04:08.51]  uno
[04:08.73]  de
[04:08.88]  esos
[04:09.17]  hombres
[04:09.72]  que
[04:09.92]  pas
[04:10.14] aron
[04:10.50]  más
[04:10.74]  tiempo
[04:11.19]  en
[04:11.34]  el
[04:11.49]  campo
[04:11.86]  que
[04:12.08]  en
[04:12.23]  la
[04:12.44]  ciudad
[04:12.95] ,
[04:13.00]  que
[04:13.21]  constru
[04:13.70] yer
[04:13.91] on
[04:14.05]  cosas
[04:14.40]  con
[04:14.61]  sus
[04:14.82]  manos
[04:15.17]  desde
[04:15.52]  jóvenes
[04:16.15]  y
[04:16.25]  que
[04:16.38]  tienen
[04:16.78]  una
[04:16.99]  relación
[04:17.68]  con
[04:17.87]  los
[04:18.08]  problemas
[04:18.65]  prá
[04:18.91] ct
[04:19.05] icos
[04:19.30]  que
[04:19.49]  es
[04:19.62]  completamente
[04:20.48]  dist
[04:20.79] inta
[04:21.00]  a
[04:21.06]  la
[04:21.19]  de
[04:21.32]  alguien
[04:21.78]  cri
[04:21.97] ado
[04:22.16]  en
[04:22.29]  un
[04:22.42]  ent
[04:22.61] orno
[04:22.98]  ur
[04:23.20] b
[04:23.31] ano
[04:23.98] .
[04:23.98]  Ent
[04:24.20] ró
[04:24.42]  al
[04:24.57]  depart
[04:25.00] amento
[04:25.44] ,
[04:25.58]  sint
[04:25.87] ió
[04:26.09]  el
[04:26.23]  fr
[04:26.59] ío
[04:26.73] ,
[04:26.81]  mir
[04:26.95] ó
[04:27.09]  las
[04:27.31]  p
[04:27.38] ared
[04:27.67] es
[04:27.95] ,
[04:28.12]  mir
[04:28.17] ó
[04:28.31]  las
[04:28.53]  vent
[04:28.82] anas
[04:29.11] ,
[04:29.47]  mir
[04:29.56] ó
[04:29.72]  el
[04:29.97]  p
[04:30.05] iso
[04:30.49]  y
[04:30.71]  no
[04:30.84]  dijo
[04:31.16]  nada
[04:31.61]  durante
[04:32.40]  un
[04:32.62]  momento
[04:33.77] .
[04:33.80]  Después
[04:34.61]  me
[04:34.78]  pregunt
[04:35.45] ó
[04:35.64]  si
[04:36.41]  tenía
[04:36.49]  cart
[04:36.80] ón
[04:37.09] ,
[04:37.67]  cart
[04:37.67] ón
[04:38.21] .
[04:38.32]  Yo
[04:38.46]  tenía
[04:38.90]  algunas
[04:39.42]  ca
[04:39.56] jas
[04:39.78]  de
[04:39.92]  mud
[04:40.14] anza
[04:40.43]  ap
[04:40.57] il
[04:40.71] adas
[04:41.00]  en
[04:41.14]  el
[04:41.28]  dep
[04:41.72] ós
[04:41.72] ito
[04:42.20] .
[04:42.28]  Me
[04:42.40]  pid
[04:42.58] ió
[04:42.76]  que
[04:42.98]  las
[04:43.12]  ab
[04:43.24] ri
[04:43.36] era
[04:43.54]  y
[04:43.60]  las
[04:43.78]  apl
[04:43.96] ast
[04:44.14] ara
[04:44.60] .
[04:44.60]  Pas
[04:44.80] amos
[04:45.04]  la
[04:45.16]  siguiente
[04:45.73]  hora
[04:45.98]  pon
[04:46.17] iendo
[04:46.48]  cart
[04:46.73] ón
[04:46.91]  en
[04:47.04]  el
[04:47.16]  p
[04:47.22] iso
[04:47.41]  del
[04:47.60]  dorm
[04:47.90] itor
[04:48.10] io
[04:48.34] ,
[04:48.53]  peg
[04:48.53] ando
[04:48.78]  con
[04:48.97]  c
[04:49.03] inta
[04:49.36]  papel
[04:49.74]  de
[04:49.89]  alumin
[04:50.34] io
[04:50.51]  de
[04:50.64]  coc
[04:50.86] ina
[04:51.08]  en
[04:51.23]  la
[04:51.38]  p
[04:51.45] ared
[04:51.74]  exterior
[04:52.36]  y
[04:52.60]  col
[04:52.65] g
[04:52.76] ando
[04:53.02]  una
[04:53.24]  fra
[04:53.50] z
[04:53.53] ada
[04:53.75]  vie
[04:53.97] ja
[04:54.12]  que
[04:54.34]  él
[04:54.56]  encont
[04:55.01] ró
[04:55.40]  en
[04:55.53]  el
[04:55.66]  dep
[04:55.88] ós
[04:56.05] ito
[04:56.23]  como
[04:56.49]  una
[04:56.68]  cort
[04:56.94] ina
[04:57.13]  ad
[04:57.26] icional
[04:57.71]  frente
[04:58.10]  a
[04:58.16]  la
[04:58.29]  vent
[04:58.55] ana
[04:58.73] ,
[04:59.05]  por
[04:59.16]  dentro
[04:59.44]  de
[04:59.57]  la
[04:59.70]  que
[04:59.96]  ya
[05:00.23]  había
[05:01.37] .
[05:01.54]  Esta
[05:01.85]  noche
[05:02.20]  dorm
[05:02.49] í
[05:02.63]  de
[05:02.78]  manera
[05:03.22]  diferente
[05:04.08] .
[05:04.16]  No
[05:04.34]  perfect
[05:05.02] amente
[05:05.78] ,
[05:05.78]  pero
[05:06.16]  diferente
[05:07.25] .
[05:07.32]  Le
[05:07.44]  pregunt
[05:07.88] é
[05:07.99]  qué
[05:08.25]  había
[05:08.94]  hecho
[05:09.00]  y
[05:09.12]  me
[05:09.12]  explic
[05:09.56] ó
[05:09.62]  algo
[05:09.87]  que
[05:10.06]  en
[05:10.19]  ese
[05:10.37]  momento
[05:10.81]  me
[05:10.95]  pare
[05:11.20] ció
[05:11.43]  demasiado
[05:12.08]  simple
[05:12.56]  para
[05:12.88]  hacer
[05:13.28]  la
[05:13.44]  respuesta
[05:14.49]  real
[05:14.67] .
[05:14.76]  Me
[05:14.95]  dijo
[05:15.15]  que
[05:15.40]  el
[05:15.48]  problema
[05:16.01]  no
[05:16.14]  era
[05:16.36]  que
[05:16.54]  no
[05:16.67]  hub
[05:16.87] iera
[05:17.16]  suficiente
[05:17.79]  calor
[05:18.12]  en
[05:18.25]  el
[05:18.38]  cuarto
[05:18.98] .
[05:19.04]  El
[05:19.17]  problema
[05:19.70]  era
[05:19.89]  que
[05:20.07]  el
[05:20.20]  calor
[05:20.52]  que
[05:20.71]  había
[05:21.10]  se
[05:21.23]  es
[05:21.36] cap
[05:21.55] aba
[05:21.74]  demasiado
[05:22.28]  rápido
[05:22.96] .
[05:23.04]  El
[05:23.16]  p
[05:23.22] iso
[05:23.40]  de
[05:23.52]  cer
[05:23.70] ám
[05:23.89] ica
[05:24.06]  directamente
[05:24.79]  sobre
[05:25.09]  la
[05:25.21]  los
[05:25.39] a
[05:25.71]  conduc
[05:25.81] ía
[05:25.99]  el
[05:26.11]  calor
[05:26.41]  de
[05:26.53]  mi
[05:26.65]  cuerpo
[05:27.07]  hacia
[05:27.38]  abajo
[05:27.81]  mientras
[05:28.51]  dorm
[05:29.12] ía
[05:29.32] .
[05:29.40]  La
[05:29.53]  p
[05:29.59] ared
[05:29.91]  exterior
[05:30.42]  absorb
[05:30.81] ía
[05:31.01]  el
[05:31.13]  calor
[05:31.48]  del
[05:31.72]  cuarto
[05:32.09]  como
[05:32.36]  una
[05:32.56]  esp
[05:32.89] on
[05:32.89] ja
[05:33.25] .
[05:33.32]  La
[05:33.45]  vent
[05:33.71] ana
[05:33.90]  simple
[05:34.40]  dej
[05:34.48] aba
[05:34.67]  salir
[05:35.00]  el
[05:35.13]  calor
[05:35.46]  conve
[05:35.79] ct
[05:35.96] ivo
[05:36.11]  hacia
[05:36.43]  el
[05:36.57]  vid
[05:36.76] rio
[05:36.95]  fr
[05:37.09] ío
[05:37.27]  que
[05:37.47]  d
[05:37.52] aba
[05:37.71]  directamente
[05:38.62]  al
[05:38.80]  exterior
[05:39.69] .
[05:39.78]  El
[05:39.92]  cart
[05:40.21] ón
[05:40.43]  en
[05:40.57]  el
[05:40.71]  p
[05:40.78] iso
[05:41.06]  cort
[05:41.30] ó
[05:41.43]  la
[05:41.57]  conduc
[05:42.01] ción
[05:42.37]  hacia
[05:42.69]  abajo
[05:43.32] .
[05:43.40]  El
[05:43.52]  papel
[05:43.83]  de
[05:43.95]  alumin
[05:44.31] io
[05:44.45]  en
[05:44.56]  la
[05:44.68]  p
[05:44.77] ared
[05:44.99]  refle
[05:45.32] j
[05:45.36] ó
[05:45.48]  el
[05:45.65]  calor
[05:45.91]  inf
[05:46.09] rar
[05:46.27] ro
[05:46.39] jo
[05:46.51]  de
[05:46.64]  vuelta
[05:47.00]  hacia
[05:47.31]  ad
[05:47.43] ent
[05:47.61] ro
[05:47.88]  en
[05:48.04]  lugar
[05:48.40]  de
[05:48.62]  dejar
[05:48.90] lo
[05:49.04]  ser
[05:49.25]  absorb
[05:49.75] ido
